Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
46,LAC,2021-01-03,0,1,4,23,5,69,0,0,42.9,66.7,Sun,16,17,@,KAN,W 38-21,29,10,16,3,7,3,42.9,1,0,0.0,268,1,4,23,5,69,9,92,3,3,3,0,0,0,416,69,6.03,50,5.36,0,34:49,2:56,18,4,13,1,9,6,66.7,1,0,0.0,5,4,4,0,0,1,1,1
47,LAC,2017-10-22,0,3,9,81,10,68,0,0,25.0,21.4,Sun,7,7,,DEN,W 21-0,14,2,8,4,12,3,25.0,1,0,0.0,251,3,9,81,10,68,19,149,0,0,0,0,0,0,242,55,4.40,59,4.25,0,28:56,2:53,12,3,8,1,14,3,21.4,2,0,0.0,3,3,3,0,0,0,0,0
48,LAC,2022-10-23,2,2,7,70,7,68,0,3,33.3,55.6,Sun,7,7,,SEA,L 23-37,21,3,17,1,15,5,33.3,3,1,33.3,404,2,7,70,7,68,14,138,4,4,4,3,3,0,329,69,4.77,63,6.41,2,26:03,3:19,24,10,10,4,9,5,55.6,0,0,,3,3,3,0,0,0,0,1
49,LAC,2017-10-08,1,2,11,87,10,67,2,0,44.4,33.3,Sun,5,5,@,NYG,W 27-22,21,7,12,2,18,8,44.4,0,0,,335,2,11,87,10,67,21,154,3,2,2,0,0,1,382,73,5.23,66,5.08,1,31:45,3:26,18,9,8,1,15,5,33.3,1,0,0.0,3,3,3,2,2,0,0,0
50,LAC,2022-10-02,1,2,6,61,9,67,2,1,50.0,33.3,Sun,4,4,@,HOU,W 34-24,22,5,15,2,16,8,50.0,2,1,50.0,346,2,6,61,9,67,15,128,3,3,3,2,1,0,419,67,6.25,53,6.53,1,31:39,3:00,16,2,11,3,12,4,33.3,2,0,0.0,4,4,4,2,2,0,0,0
51,SDG,2016-09-25,3,2,10,80,11,66,3,2,36.4,22.2,Sun,3,3,@,IND,L 22-26,17,1,16,0,11,4,36.4,0,0,,410,2,10,80,11,66,21,146,3,2,2,2,2,0,352,58,6.07,65,6.31,3,27:17,3:23,24,6,13,5,9,2,22.2,1,1,100.0,2,2,1,3,3,0,0,0
52,LAC,2018-12-13,2,0,7,50,10,66,0,0,60.0,60.0,Thu,14,15,@,KAN,W 29-28,30,7,18,5,10,6,60.0,1,1,100.0,294,0,7,50,10,66,17,116,4,4,4,0,0,0,407,67,6.07,53,5.55,2,33:16,3:09,22,7,12,3,10,6,60.0,0,0,,4,3,3,0,0,1,1,0
53,LAC,2019-09-22,1,1,7,69,6,65,2,0,33.3,60.0,Sun,3,3,,HOU,L 20-27,22,3,17,2,15,5,33.3,3,2,66.7,376,1,7,69,6,65,13,134,4,4,3,1,0,0,366,69,5.30,55,6.84,1,31:48,3:17,20,3,15,2,10,6,60.0,0,0,,2,2,2,2,2,0,0,0
54,LAC,2022-10-09,0,1,4,17,6,65,3,0,30.0,40.0,Sun,5,5,@,CLE,W 30-28,26,9,13,4,10,3,30.0,2,0,0.0,443,1,4,17,6,65,10,82,4,4,4,2,0,0,465,69,6.74,65,6.82,0,29:58,3:01,27,11,15,1,10,4,40.0,1,0,0.0,3,3,3,3,3,0,0,0
55,LAC,2018-09-23,2,2,4,30,6,64,1,0,53.8,72.7,Sun,3,3,@,LAR,L 23-35,16,7,9,0,13,7,53.8,2,1,50.0,521,2,4,30,6,64,10,94,5,5,5,1,0,0,356,52,6.85,72,7.24,2,25:44,2:57,33,12,18,3,11,8,72.7,0,0,,3,3,2,1,1,0,0,0
56,LAC,2023-12-23,0,3,6,29,7,64,5,1,28.6,50.0,Sat,15,16,,BUF,L 22-24,18,6,10,2,14,4,28.6,0,0,,335,3,6,29,7,64,13,93,3,3,3,1,1,0,273,65,4.20,52,6.44,0,33:04,2:55,16,5,11,0,10,5,50.0,0,0,,1,1,1,5,5,0,0,0
57,LAC,2021-12-05,3,4,7,51,7,63,2,1,30.8,50.0,Sun,12,13,@,CIN,W 41-22,18,5,13,0,13,4,30.8,1,1,100.0,356,4,7,51,7,63,14,114,3,2,1,1,1,0,363,61,5.95,71,5.01,3,28:46,3:20,21,6,14,1,12,6,50.0,1,0,0.0,5,4,3,2,2,1,1,0
58,LAC,2017-09-11,1,2,4,40,3,62,0,1,25.0,53.3,Mon,1,1,@,DEN,L 21-24,17,3,12,2,12,3,25.0,2,1,50.0,321,2,4,40,3,62,7,102,3,3,3,2,1,0,249,56,4.45,68,4.72,1,25:47,2:54,22,7,14,1,15,8,53.3,0,0,,3,3,3,1,0,0,0,0
59,LAC,2022-12-18,2,1,3,20,6,62,1,0,30.8,27.3,Sun,14,15,,TEN,W 17-14,23,8,13,2,13,4,30.8,2,2,100.0,284,1,3,20,6,62,9,82,2,2,2,1,0,0,365,69,5.29,57,4.98,2,29:48,3:02,17,9,8,0,11,3,27.3,0,0,,2,2,2,1,1,0,0,0
60,LAC,2017-11-23,0,2,5,56,7,60,1,0,64.3,54.5,Thu,11,12,@,DAL,W 28-6,25,4,17,4,14,9,64.3,1,0,0.0,247,2,5,56,7,60,12,116,1,0,0,0,0,0,515,66,7.80,49,5.04,0,36:05,2:49,14,4,8,2,11,6,54.5,0,0,,4,4,1,2,1,0,0,0
61,LAC,2020-10-12,0,1,1,10,5,60,0,3,47.1,33.3,Mon,5,5,@,NOR,L 27-30 (OT),19,5,12,2,17,8,47.1,1,0,0.0,408,1,1,10,5,60,6,70,3,3,3,3,3,0,350,69,5.07,75,5.44,0,30:42,3:20,23,6,17,0,15,5,33.3,0,0,,4,4,3,1,0,0,0,0
62,LAC,2018-12-02,0,1,5,80,7,59,1,1,54.5,30.0,Sun,12,13,@,PIT,W 33-30,22,4,17,1,11,6,54.5,0,0,,336,1,5,80,7,59,12,139,4,4,3,1,1,0,371,60,6.18,63,5.33,0,31:12,3:10,23,5,15,3,10,3,30.0,1,1,100.0,4,2,2,2,1,2,2,0
63,SDG,2016-11-27,1,4,10,78,9,58,0,2,36.4,36.4,Sun,11,12,@,HOU,W 21-13,18,5,9,4,11,4,36.4,0,0,,353,4,10,78,9,58,19,136,1,1,1,2,2,0,302,49,6.16,65,5.43,1,29:59,3:04,22,6,14,2,11,4,36.4,2,1,50.0,3,3,3,1,0,0,0,0
64,LAC,2017-10-01,1,0,9,39,9,58,1,4,50.0,56.3,Sun,4,4,,PHI,L 24-26,18,3,12,3,10,5,50.0,0,0,,454,0,9,39,9,58,18,97,2,2,2,4,4,0,400,53,7.55,74,6.14,1,20:42,2:46,26,12,11,3,16,9,56.3,1,1,100.0,3,3,3,1,1,0,0,0
65,LAC,2021-10-04,0,1,7,105,7,58,0,0,30.8,30.8,Mon,4,4,,LVR,W 28-14,25,11,13,1,13,4,30.8,3,2,66.7,213,1,7,105,7,58,14,163,2,2,2,1,0,0,380,75,5.07,56,3.80,0,34:42,2:58,13,2,8,3,13,4,30.8,3,1,33.3,4,4,4,0,0,0,0,0
66,SDG,2016-11-06,0,3,14,107,8,57,3,0,45.5,45.5,Sun,9,9,,TEN,W 43-35,31,10,16,5,11,5,45.5,0,0,,393,3,14,107,8,57,22,164,5,5,5,0,0,0,476,73,6.52,62,6.34,0,36:29,3:20,24,6,15,3,11,5,45.5,1,1,100.0,5,5,4,3,3,0,0,0
67,LAC,2021-09-12,2,1,6,94,8,57,2,3,73.7,30.0,Sun,1,1,@,WAS,W 20-16,27,6,20,1,19,14,73.7,0,0,,259,1,6,94,8,57,14,151,1,1,1,4,3,0,424,78,5.44,49,5.29,2,36:03,2:55,15,6,6,3,10,3,30.0,1,1,100.0,2,2,2,2,2,0,0,0
68,LAC,2024-01-07,1,1,1,5,3,57,4,2,36.8,37.5,Sun,17,18,,KAN,L 12-13,22,8,12,2,19,7,36.8,3,2,66.7,268,1,1,5,3,57,4,62,1,1,1,2,2,0,353,80,4.41,59,4.54,1,32:55,2:59,12,6,6,0,16,6,37.5,1,1,100.0,0,0,0,4,4,0,0,0
