Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
57,IND,2017-11-05,1,1,6,68,7,74,2,0,28.6,28.6,Sun,9,9,@,HOU,W 20-14,17,7,8,2,14,4,28.6,0,0,,288,1,6,68,7,74,13,142,2,2,2,1,0,0,371,61,6.08,67,4.30,1,30:59,3:12,19,6,11,2,14,4,28.6,1,0,0.0,2,2,2,2,2,0,0,0
58,IND,2017-11-12,1,1,9,82,9,70,1,2,40.0,38.5,Sun,10,10,,PIT,L 17-20,13,3,8,2,15,6,40.0,0,0,,316,1,9,82,9,70,18,152,2,1,0,3,2,0,267,56,4.77,62,5.10,1,30:02,3:06,18,5,11,2,13,5,38.5,0,0,,2,2,2,1,1,0,0,0
59,IND,2017-11-26,1,2,9,67,2,15,3,2,42.9,37.5,Sun,11,12,,TEN,L 16-20,15,4,10,1,14,6,42.9,0,0,,276,2,9,67,2,15,11,82,2,2,2,2,2,0,254,61,4.16,53,5.21,1,31:22,2:55,19,7,9,3,8,3,37.5,0,0,,1,1,1,3,3,0,0,0
60,IND,2017-12-03,2,0,4,31,6,55,1,3,33.3,60.0,Sun,12,13,@,JAX,L 10-30,17,7,8,2,15,5,33.3,4,4,100.0,426,0,4,31,6,55,10,86,3,1,1,3,3,0,290,66,4.39,64,6.66,2,26:13,3:01,22,5,16,1,15,9,60.0,1,1,100.0,1,1,1,1,1,0,0,0
61,IND,2017-12-10,0,2,2,20,2,10,0,0,25.0,55.6,Sun,13,14,@,BUF,L 7-13 (OT),16,10,5,1,16,4,25.0,4,3,75.0,319,2,2,20,2,10,4,30,2,1,1,0,0,0,227,69,3.29,67,4.76,0,36:02,3:15,14,10,4,0,18,10,55.6,2,0,0.0,1,1,1,2,0,0,0,0
62,IND,2017-12-14,0,1,4,39,12,80,2,1,46.2,46.7,Thu,14,15,,DEN,L 13-25,15,4,9,2,13,6,46.2,1,0,0.0,462,1,4,39,12,80,16,119,3,2,2,2,1,0,228,53,4.30,74,6.24,0,23:09,3:00,23,10,11,2,15,7,46.7,3,1,33.3,1,1,1,2,2,0,0,0
63,IND,2017-12-23,0,0,2,19,5,25,3,3,38.5,42.9,Sat,15,16,@,BAL,L 16-23,17,5,12,0,13,5,38.5,2,1,50.0,323,0,2,19,5,25,7,44,2,2,2,3,3,0,296,59,5.02,71,4.55,0,24:12,2:56,23,8,13,2,14,6,42.9,1,1,100.0,1,1,1,5,3,0,0,0
64,IND,2017-12-31,0,1,4,20,7,34,2,2,46.2,45.5,Sun,16,17,,HOU,W 22-13,20,10,7,3,13,6,46.2,0,0,,209,1,4,20,7,34,11,54,1,1,1,2,2,0,250,62,4.03,53,3.94,0,31:13,2:50,15,4,8,3,11,5,45.5,0,0,,2,2,2,2,2,0,0,1
65,IND,2018-09-09,2,2,7,91,8,94,3,2,64.7,50.0,Sun,1,1,,CIN,L 23-34,24,4,17,3,17,11,64.7,0,0,,330,2,7,91,8,94,15,185,4,4,4,2,2,0,380,77,4.94,50,6.60,2,32:48,3:04,19,5,11,3,8,4,50.0,0,0,,2,2,2,4,3,0,0,0
66,IND,2018-09-16,2,1,6,26,7,90,0,3,56.3,33.3,Sun,2,2,@,WAS,W 21-9,17,5,10,2,16,9,56.3,0,0,,334,1,6,26,7,90,13,116,0,0,0,4,3,0,281,60,4.68,71,4.70,2,26:40,2:53,20,4,16,0,15,5,33.3,2,1,50.0,3,3,3,0,0,0,0,0
