Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
43,MIN,2016-11-24,1,0,5,40,4,16,2,3,20.0,42.9,Thu,11,12,@,DET,L 13-16,17,7,8,2,10,2,20.0,1,0,0.0,308,0,5,40,4,16,9,56,1,1,1,3,3,0,306,53,5.77,61,5.05,1,31:31,2:57,18,5,13,0,14,6,42.9,2,0,0.0,1,1,1,2,2,0,0,0
44,MIN,2016-12-01,1,2,8,57,10,78,3,1,37.5,11.1,Thu,12,13,,DAL,L 15-17,21,3,16,2,16,6,37.5,0,0,,264,2,8,57,10,78,18,135,2,2,2,1,1,0,318,69,4.61,49,5.39,1,33:17,3:08,13,7,6,0,9,1,11.1,0,0,,1,0,0,3,3,1,0,0
45,MIN,2016-12-11,1,0,7,93,14,114,4,3,27.3,43.8,Sun,13,14,@,JAX,W 25-16,22,5,13,4,11,3,27.3,1,0,0.0,315,0,7,93,14,114,21,207,1,1,1,5,3,0,377,63,5.98,65,4.85,1,30:56,3:14,18,3,11,4,16,7,43.8,1,1,100.0,2,2,1,4,4,0,0,0
46,MIN,2016-12-18,3,0,6,27,5,55,2,2,33.3,53.8,Sun,14,15,,IND,L 6-34,20,0,18,2,9,3,33.3,1,0,0.0,411,0,6,27,5,55,11,82,4,4,4,2,2,0,282,56,5.04,68,6.04,3,22:58,2:48,27,9,14,4,13,7,53.8,1,0,0.0,0,0,0,2,2,0,0,0
47,MIN,2016-12-24,2,0,8,70,3,21,2,1,33.3,46.2,Sat,15,16,@,GNB,L 25-38,22,4,18,0,15,5,33.3,3,3,100.0,348,0,8,70,3,21,11,91,5,5,5,1,1,0,446,74,6.03,58,6.00,2,31:01,3:12,19,1,18,0,13,6,46.2,0,0,,3,2,1,2,2,1,0,0
48,MIN,2017-01-01,1,5,2,15,6,49,1,1,50.0,22.2,Sun,16,17,,CHI,W 38-10,21,5,15,1,12,6,50.0,1,0,0.0,323,5,2,15,6,49,8,64,1,1,1,1,1,0,374,62,6.03,59,5.47,1,30:12,2:47,19,10,9,0,9,2,22.2,2,1,50.0,5,5,5,1,1,0,0,0
49,MIN,2017-09-11,0,0,5,50,6,52,3,4,64.3,36.4,Mon,1,1,,NOR,W 29-19,23,5,14,4,14,9,64.3,0,0,,344,0,5,50,6,52,11,102,1,1,1,4,4,0,470,63,7.46,59,5.83,0,31:16,2:55,19,3,14,2,11,4,36.4,0,0,,3,3,2,3,3,0,0,0
50,MIN,2017-09-17,1,0,11,131,10,72,1,4,33.3,23.1,Sun,2,2,@,PIT,L 9-26,14,5,8,1,15,5,33.3,3,0,0.0,335,0,11,131,10,72,21,203,2,2,2,4,4,0,237,60,3.95,69,4.86,1,25:38,3:11,22,6,12,4,13,3,23.1,0,0,,1,1,0,1,1,0,0,0
51,MIN,2017-09-24,0,3,5,53,7,37,2,1,53.8,16.7,Sun,3,3,,TAM,W 34-17,25,7,16,2,13,7,53.8,0,0,,342,3,5,53,7,37,12,90,2,2,2,1,1,0,494,70,7.06,51,6.71,0,37:46,3:01,20,0,19,1,6,1,16.7,0,0,,4,4,4,2,2,0,0,0
52,MIN,2017-10-01,3,0,2,10,6,60,0,2,30.0,23.1,Sun,4,4,,DET,L 7-14,15,4,9,2,10,3,30.0,1,0,0.0,251,0,2,10,6,60,8,70,1,0,0,3,2,0,284,54,5.26,68,3.69,3,23:33,3:05,19,5,14,0,13,3,23.1,0,0,,1,1,1,1,0,0,0,0
