Home Team Name,Away Team Name,Winner,Home Team Total Yards,Away Team Total Yards,Home Team Turnovers,Away Team Turnovers
Denver Broncos,Detroit Lions,1,358,316,0,2
Los Angeles Chargers,New York Giants,1,423,316,0,2
Tampa Bay Buccaneers,Buffalo Bills,1,488,466,0,1
Green Bay Packers,Chicago Bears,1,439,347,0,3
Arizona Cardinals,Los Angeles Rams,0,447,356,2,0
Los Angeles Chargers,Kansas City Chiefs,0,428,496,2,2
Indianapolis Colts,New England Patriots,1,275,365,1,2
Buffalo Bills,Carolina Panthers,1,312,275,1,1
Detroit Lions,Arizona Cardinals,1,338,398,1,1
New York Giants,Dallas Cowboys,0,302,328,4,1
Baltimore Ravens,Green Bay Packers,0,354,346,0,0
Jacksonville Jaguars,Houston Texans,0,296,281,0,1
Miami Dolphins,New York Jets,1,379,228,3,1
Pittsburgh Steelers,Tennessee Titans,1,168,318,0,4
San Francisco 49ers,Atlanta Falcons,1,397,275,1,1
Denver Broncos,Cincinnati Bengals,0,292,249,1,0
Tampa Bay Buccaneers,New Orleans Saints,0,302,212,2,0
Cleveland Browns,Las Vegas Raiders,0,236,328,0,2
Chicago Bears,Minnesota Vikings,0,370,193,3,1
Philadelphia Eagles,Washington Football Team,1,519,237,2,0
Los Angeles Rams,Seattle Seahawks,1,332,214,1,1
Tennessee Titans,San Francisco 49ers,1,278,389,0,2
Green Bay Packers,Cleveland Browns,1,311,408,0,4
Arizona Cardinals,Indianapolis Colts,0,378,346,0,0
Atlanta Falcons,Detroit Lions,1,254,338,1,1
New England Patriots,Buffalo Bills,0,288,428,2,0
Carolina Panthers,Tampa Bay Buccaneers,0,273,391,1,0
Cincinnati Bengals,Baltimore Ravens,1,575,334,0,1
Houston Texans,Los Angeles Chargers,1,437,417,0,3
New York Jets,Jacksonville Jaguars,1,373,384,0,1
Minnesota Vikings,Los Angeles Rams,0,361,356,1,3
Philadelphia Eagles,New York Giants,1,324,192,0,2
Seattle Seahawks,Chicago Bears,0,331,317,0,0
Las Vegas Raiders,Denver Broncos,1,342,158,3,0
Kansas City Chiefs,Pittsburgh Steelers,1,381,303,0,3
Dallas Cowboys,Washington Football Team,1,497,257,0,2
New Orleans Saints,Miami Dolphins,0,164,259,2,1
Buffalo Bills,Atlanta Falcons,1,351,265,3,1
New Orleans Saints,Carolina Panthers,1,280,178,0,2
Chicago Bears,New York Giants,1,249,155,2,4
Cincinnati Bengals,Kansas City Chiefs,1,475,414,0,0
Indianapolis Colts,Las Vegas Raiders,0,262,326,0,2
New England Patriots,Jacksonville Jaguars,1,471,253,0,3
Tennessee Titans,Miami Dolphins,1,308,256,0,2
New York Jets,Tampa Bay Buccaneers,0,374,467,1,1
Washington Football Team,Philadelphia Eagles,0,312,330,1,0
Los Angeles Chargers,Denver Broncos,1,341,319,0,1
San Francisco 49ers,Houston Texans,1,416,222,1,1
Dallas Cowboys,Arizona Cardinals,0,301,399,1,0
Seattle Seahawks,Detroit Lions,1,497,357,0,3
Baltimore Ravens,Los Angeles Rams,0,327,373,2,3
Green Bay Packers,Minnesota Vikings,1,481,206,0,0
Pittsburgh Steelers,Cleveland Browns,1,299,232,1,2
Denver Broncos,Kansas City Chiefs,0,364,390,1,0
Philadelphia Eagles,Dallas Cowboys,0,315,475,1,0
Atlanta Falcons,New Orleans Saints,0,257,369,3,0
Tampa Bay Buccaneers,Carolina Panthers,1,409,317,0,2
Minnesota Vikings,Chicago Bears,1,331,356,0,2
Cleveland Browns,Cincinnati Bengals,1,376,182,2,0
Jacksonville Jaguars,Indianapolis Colts,1,318,233,0,2
Detroit Lions,Green Bay Packers,1,404,378,0,3
Houston Texans,Tennessee Titans,0,353,405,0,0
Miami Dolphins,New England Patriots,1,298,379,0,3
New York Giants,Washington Football Team,0,177,325,3,0
Baltimore Ravens,Pittsburgh Steelers,0,381,314,3,1
Buffalo Bills,New York Jets,1,424,53,0,0
Arizona Cardinals,Seattle Seahawks,0,305,431,1,2
Los Angeles Rams,San Francisco 49ers,0,265,449,2,2
Las Vegas Raiders,Los Angeles Chargers,1,346,440,0,2
