Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
51,TEN,2017-09-24,225,2,195,1,0,364,69,32:41,Sun,3,3,,SEA,W 33-27,20,32,12,62.5,225,2,0,6.3,0.0,104.3,0,0,0.00,7.0,7.03,8.28,8.28,11.3,22,69,3.1,0,29,49,59.2,364,4,1,9,0,109.6,35,195,5.6,1,420,67,6.27,72,6.01,0,32:41,3:19
52,TEN,2017-10-01,109,0,86,2,5,272,173,20:19,Sun,4,4,@,HOU,L 14-57,10,20,10,50.0,109,0,4,0.0,20.0,28.5,2,8,9.09,5.5,4.95,-3.55,-3.23,10.9,42,173,4.1,2,25,34,73.5,272,4,2,11,1,123.7,19,86,4.5,2,195,41,4.76,78,5.71,5,20:19,2:56
53,TEN,2017-10-08,119,1,69,0,2,78,100,30:15,Sun,5,5,@,MIA,L 10-16,21,32,11,65.6,119,1,0,3.1,0.0,85.5,6,22,15.79,3.7,3.13,4.34,3.66,5.7,31,100,3.2,0,12,27,44.4,78,1,1,14,1,48.5,20,69,3.5,0,188,58,3.24,59,3.02,2,30:15,3:13
54,TEN,2017-10-16,305,1,168,2,1,212,85,35:53,Mon,6,6,,IND,W 36-22,23,32,9,71.9,305,1,1,3.1,3.1,99.2,1,1,3.03,9.5,9.24,8.75,8.48,13.3,19,85,4.5,0,21,37,56.8,212,1,1,0,0,82.3,34,168,4.9,2,473,67,7.06,57,5.21,1,35:53,3:12
55,TEN,2017-10-22,189,0,80,0,1,218,66,35:23,Sun,7,7,@,CLE,W 12-9 (OT),21,34,13,61.8,189,0,0,0.0,0.0,78.4,2,14,5.56,5.6,5.25,5.56,5.25,9.0,26,66,2.5,0,22,39,56.4,218,0,2,17,3,40.3,32,80,2.5,0,269,68,3.96,67,4.24,1,35:23,3:14
56,TEN,2017-11-05,186,2,71,1,1,268,73,27:38,Sun,8,9,,BAL,W 23-20,19,28,9,67.9,186,2,1,7.1,3.6,100.0,3,32,9.68,6.6,6.00,6.46,5.84,9.8,22,73,3.3,0,35,53,66.0,268,2,2,9,2,75.0,21,71,3.4,1,257,52,4.94,77,4.43,1,27:38,3:07
57,TEN,2017-11-12,236,1,180,2,2,255,53,40:09,Sun,9,10,,CIN,W 24-20,25,44,19,56.8,236,1,1,2.3,2.3,72.5,4,28,8.33,5.4,4.92,4.80,4.40,9.4,14,53,3.8,1,20,35,57.1,255,2,1,10,0,99.1,36,180,5.0,2,416,84,4.95,50,6.16,2,40:09,3:17
58,TEN,2017-11-16,264,1,52,1,4,284,65,28:20,Thu,10,11,@,PIT,L 17-40,22,34,12,64.7,264,1,4,2.9,11.8,63.7,5,42,12.82,7.8,6.77,3.06,2.67,12.0,21,65,3.1,0,30,45,66.7,284,4,3,15,0,113.6,21,52,2.5,1,316,60,5.27,69,5.06,4,28:20,3:17
59,TEN,2017-11-26,184,1,92,1,2,165,89,28:38,Sun,11,12,@,IND,W 20-16,17,25,8,68.0,184,1,2,4.0,8.0,69.4,0,0,0.00,7.4,7.36,4.56,4.56,10.8,24,89,3.7,1,17,29,58.6,165,0,8,31,0,74.6,28,92,3.3,1,276,53,5.21,61,4.16,2,28:38,2:55
60,TEN,2017-12-03,146,1,198,2,1,331,53,26:11,Sun,12,13,,HOU,W 24-13,15,23,8,65.2,146,1,0,4.3,0.0,98.1,2,4,8.00,6.3,5.84,7.22,6.64,9.7,22,53,2.4,0,31,49,63.3,331,1,4,34,1,81.2,25,198,7.9,2,344,50,6.88,75,5.12,1,26:11,3:29
61,TEN,2017-12-10,139,0,65,1,2,125,136,26:11,Sun,13,14,@,ARI,L 7-12,16,31,15,51.6,139,0,2,0.0,6.5,39.6,3,20,8.82,4.5,4.09,1.58,1.44,8.7,29,136,4.7,0,17,26,65.4,125,0,8,53,0,76.6,22,65,3.0,1,204,56,3.64,63,4.14,2,26:11,2:58
62,TEN,2017-12-17,238,2,90,0,1,363,51,27:25,Sun,14,15,@,SFO,L 23-25,23,33,10,69.7,238,2,0,6.1,0.0,110.8,1,3,2.94,7.2,7.00,8.42,8.18,10.3,22,51,2.3,0,31,43,72.1,363,1,3,18,0,105.1,28,90,3.2,0,328,62,5.29,68,6.09,1,27:25,3:07
63,TEN,2017-12-24,269,0,97,1,1,286,116,29:56,Sun,15,16,,LAR,L 23-27,22,39,17,56.4,269,0,1,0.0,2.6,67.8,1,6,2.50,6.9,6.73,5.74,5.60,12.2,26,116,4.5,0,22,39,56.4,286,4,1,15,0,113.8,26,97,3.7,1,366,66,5.55,66,6.09,1,29:56,3:20
64,TEN,2017-12-31,116,1,116,0,1,146,83,33:27,Sun,16,17,,JAX,W 15-10,12,21,9,57.1,116,1,0,4.8,0.0,92.2,3,18,12.50,5.5,4.83,6.48,5.67,9.7,24,83,3.5,0,15,34,44.1,146,0,2,12,2,32.2,39,116,3.0,0,232,63,3.68,60,3.82,1,33:27,3:05
65,TEN,2018-09-09,220,0,116,1,3,222,120,29:35,Sun,1,1,@,MIA,L 20-27,20,38,18,52.6,220,0,3,0.0,7.9,37.2,0,0,0.00,5.8,5.79,2.24,2.24,11.0,29,120,4.1,0,20,28,71.4,222,2,1,8,2,88.7,29,116,4.0,1,336,67,5.01,58,5.90,3,29:35,7:08
66,TEN,2018-09-16,183,2,100,0,0,289,148,30:22,Sun,2,2,,HOU,W 20-17,15,22,7,68.2,183,2,0,9.1,0.0,125.4,1,8,4.35,8.3,7.96,10.14,9.70,12.2,26,148,5.7,0,22,32,68.8,289,2,4,21,1,104.8,34,100,2.9,0,283,57,4.96,62,7.05,0,30:22,2:57
67,TEN,2018-09-23,83,0,150,0,0,145,87,32:47,Sun,3,3,@,JAX,W 9-6,13,21,8,61.9,83,0,0,0.0,0.0,75.1,3,25,12.50,4.0,3.46,3.95,3.46,6.4,19,87,4.6,0,21,34,61.8,145,0,3,10,0,71.3,35,150,4.3,0,233,59,3.95,56,4.14,0,32:47,2:56
68,TEN,2018-09-30,327,2,70,1,1,315,117,35:30,Sun,4,4,,PHI,W 26-23 (OT),30,43,13,69.8,327,2,1,4.7,2.3,99.4,3,17,6.52,7.6,7.11,7.49,7.00,10.9,22,117,5.3,0,33,50,66.0,315,2,4,33,0,96.7,22,70,3.2,1,397,68,5.84,76,5.68,1,35:30,3:36
