Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
99,DET,2020-09-27,232,2,90,0,0,268,109,32:50,Sun,3,3,@,ARI,W 26-23,22,31,9,71.0,2,0,6.5,0.0,119.0,4,38,11.43,7.5,6.63,8.77,7.77,10.5,27,4.0,1,23,35,65.7,2,1,2,3,72.1,27,3.3,322,62,5.19,63,5.98,0,3:00
100,DET,2020-10-04,191,3,90,1,1,228,164,23:14,Sun,4,4,,NOR,L 29-35,17,31,14,54.8,3,1,9.7,3.2,94.3,3,15,8.82,6.2,5.62,6.65,6.06,11.2,42,3.9,3,19,25,76.0,2,2,18,1,113.4,22,4.1,281,56,5.02,69,5.68,1,3:06
101,DET,2020-10-18,223,1,180,3,1,231,44,35:57,Sun,5,6,@,JAX,W 34-16,19,31,12,61.3,1,1,3.2,3.2,80.4,0,0,0.00,7.2,7.19,6.39,6.39,11.7,16,2.8,1,25,44,56.8,1,1,12,1,69.4,39,4.6,403,70,5.76,61,4.51,1,3:00
102,DET,2020-10-25,322,1,64,1,0,322,66,29:15,Sun,6,7,@,ATL,W 23-22,25,36,11,69.4,1,0,2.8,0.0,108.6,2,18,5.26,8.9,8.47,9.50,9.00,12.9,26,2.5,2,31,42,73.8,1,2,16,0,103.5,21,3.0,386,59,6.54,70,5.54,0,3:09
103,DET,2020-11-01,297,3,29,0,2,247,119,22:14,Sun,7,8,,IND,L 21-41,24,42,18,57.1,3,1,7.1,2.4,96.9,5,39,10.64,7.1,6.32,7.43,6.64,12.4,39,3.1,2,23,34,67.6,3,2,15,0,118.1,13,2.2,326,60,5.43,75,4.88,2,3:01
104,DET,2020-11-08,292,2,129,0,3,212,275,32:49,Sun,8,9,@,MIN,L 20-34,31,45,14,68.9,2,3,4.4,6.7,74.8,2,13,4.26,6.5,6.21,4.38,4.19,9.4,34,8.1,2,13,20,65.0,3,1,8,0,140.0,27,4.8,421,74,5.69,55,8.85,3,2:59
105,DET,2020-11-15,267,3,105,0,0,375,89,24:17,Sun,9,10,,WAS,W 30-27,24,33,9,72.7,3,0,9.1,0.0,127.8,1,9,2.94,8.1,7.85,9.91,9.62,11.1,26,3.4,3,38,55,69.1,0,2,15,0,88.1,21,5.0,372,55,6.76,83,5.59,0,3:14
106,DET,2020-11-22,145,0,40,0,1,258,116,23:12,Sun,10,11,@,CAR,L 0-20,18,33,15,54.5,0,0,0.0,0.0,70.0,5,33,13.16,4.4,3.82,4.39,3.82,8.1,34,3.4,1,24,35,68.6,1,1,0,2,75.7,17,2.4,185,55,3.36,70,5.34,1,2:52
107,DET,2020-11-26,279,1,109,2,3,307,77,33:44,Thu,11,12,,HOU,L 25-41,28,43,15,65.1,1,1,2.3,2.3,83.0,4,16,8.51,6.5,5.94,5.91,5.40,10.0,23,3.3,0,17,25,68.0,4,2,11,0,149.5,29,3.8,388,76,5.11,50,7.68,3,3:14
108,DET,2020-12-06,400,3,60,2,1,249,140,27:42,Sun,12,13,@,CHI,W 34-30,27,42,15,64.3,3,1,7.1,2.4,109.4,2,2,4.55,9.5,9.09,9.88,9.43,14.8,31,4.5,3,26,34,76.5,1,2,18,0,106.1,22,2.7,460,66,6.97,67,5.81,1,4:06
109,DET,2020-12-13,242,1,51,2,0,290,120,24:30,Sun,13,14,,GNB,L 24-31,27,40,13,67.5,1,0,2.5,0.0,95.1,4,31,9.09,6.1,5.50,6.55,5.95,9.0,31,3.9,1,26,33,78.8,3,0,0,0,133.6,15,3.4,293,59,4.97,64,6.41,0,3:08
110,DET,2020-12-20,307,1,123,2,3,268,195,31:38,Sun,14,15,@,TEN,L 25-46,27,38,11,71.1,1,1,2.6,2.6,92.8,0,0,0.00,8.1,8.08,7.42,7.42,11.4,38,5.1,3,21,27,77.8,3,1,5,0,145.1,27,4.6,430,65,6.62,66,7.02,3,3:00
111,DET,2020-12-26,113,0,73,0,2,477,111,24:07,Sat,15,16,,TAM,L 7-47,21,31,10,67.7,0,1,0.0,3.2,65.5,4,39,11.43,3.6,3.23,2.19,1.94,5.4,26,4.3,1,31,42,73.8,6,2,14,0,150.5,15,4.9,186,50,3.72,70,8.40,2,3:02
112,DET,2021-01-03,288,3,129,2,2,383,125,24:47,Sun,16,17,,MIN,L 35-37,20,31,11,64.5,3,1,9.7,3.2,114.0,1,5,3.13,9.3,9.00,9.77,9.47,14.4,31,4.0,2,28,40,70.0,3,3,22,0,125.3,22,5.9,417,54,7.72,74,6.86,2,3:07
113,DET,2021-09-12,314,3,116,1,1,311,131,33:27,Sun,1,1,,SFO,L 33-41,38,57,19,66.7,3,1,5.3,1.8,92.6,3,24,5.00,5.5,5.23,5.77,5.48,8.3,28,4.7,2,18,26,69.2,2,1,8,0,135.3,24,4.8,430,84,5.12,55,8.04,1,3:19
114,DET,2021-09-20,236,2,108,0,2,227,96,26:35,Mon,2,2,@,GNB,L 17-35,26,36,10,72.2,2,1,5.6,2.8,97.7,1,10,2.70,6.6,6.38,6.42,6.24,9.1,31,3.1,1,22,27,81.5,4,3,28,0,141.3,19,5.7,344,56,6.14,61,5.30,2,2:55
115,DET,2021-09-26,192,0,93,2,0,271,116,32:33,Sun,3,3,,BAL,L 17-19,22,31,9,71.0,0,0,0.0,0.0,90.4,2,25,6.06,6.2,5.82,6.19,5.82,8.7,22,5.3,0,16,31,51.6,1,4,16,1,78.8,27,3.4,285,60,4.75,57,6.79,0,3:07
116,DET,2021-10-03,261,2,90,0,2,185,188,31:17,Sun,4,4,@,CHI,L 14-24,24,38,14,63.2,2,0,5.3,0.0,105.0,4,38,9.52,6.9,6.21,7.92,7.17,10.9,39,4.8,3,11,17,64.7,0,1,24,1,76.8,25,3.6,351,67,5.24,57,6.54,2,2:57
117,DET,2021-10-10,180,0,108,1,2,264,120,27:54,Sun,5,5,@,MIN,L 17-19,21,35,14,60.0,0,1,0.0,2.9,64.3,4,23,10.26,5.1,4.62,3.86,3.46,8.6,28,4.3,0,25,34,73.5,1,2,11,1,93.3,24,4.5,288,63,4.57,64,6.00,2,2:55
118,DET,2021-10-17,192,0,36,1,1,256,142,24:08,Sun,6,6,,CIN,L 11-34,28,42,14,66.7,0,1,0.0,2.4,67.8,1,10,2.33,4.6,4.47,3.50,3.42,6.9,36,3.9,0,20,30,66.7,4,2,22,1,118.9,18,2.0,228,61,3.74,68,5.85,1,2:57
119,DET,2021-10-24,278,1,137,0,2,327,47,32:40,Sun,7,7,@,LAR,L 19-28,23,37,14,62.2,1,2,2.7,5.4,72.5,2,7,5.13,7.5,7.13,5.62,5.33,12.1,19,2.5,0,28,41,68.3,3,1,7,0,116.6,28,4.9,415,67,6.19,61,6.13,2,3:08
120,DET,2021-10-31,171,0,57,1,1,114,236,25:00,Sun,8,8,,PHI,L 6-44,25,34,9,73.5,0,0,0.0,0.0,90.6,6,51,15.00,5.0,4.28,5.03,4.28,6.8,46,5.1,4,11,16,68.8,0,0,0,0,89.1,18,3.2,228,58,3.93,62,5.65,1,2:48
121,DET,2021-11-14,77,0,229,2,0,242,145,33:12,Sun,9,10,@,PIT,T 16-16 (OT),14,25,11,56.0,0,0,0.0,0.0,67.7,4,37,13.79,3.1,2.66,3.08,2.66,5.5,31,4.7,0,30,50,60.0,1,0,0,1,70.6,39,5.9,306,68,4.50,81,4.78,0,3:40
122,DET,2021-11-21,77,0,168,1,2,165,184,25:04,Sun,10,11,@,CLE,L 10-13,15,23,8,65.2,0,2,0.0,8.7,34.1,0,0,0.00,3.3,3.35,-0.57,-0.57,5.1,36,5.1,1,15,29,51.7,1,1,11,2,51.7,23,7.3,245,46,5.33,66,5.29,2,3:02
123,DET,2021-11-25,163,2,76,0,1,310,68,27:04,Thu,11,12,,CHI,L 14-16,21,25,4,84.0,2,0,8.0,0.0,121.8,1,8,3.85,6.5,6.27,8.12,7.81,7.8,29,2.3,0,24,39,61.5,1,1,7,1,84.3,19,4.0,239,45,5.31,69,5.48,1,3:05
