Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
21,SDG,2015-10-12,354,2,52,0,2,194,155,33:43,Mon,5,5,,PIT,L 20-24,35,48,13,72.9,354,2,1,4.2,2.1,99.7,2,11,4.00,7.4,7.08,7.27,6.98,10.1,27,155,5.7,1,13,26,50.0,194,1,3,9,1,71.6,19,52,2.7,0,406,69,5.88,56,6.23,2,33:43,3:08
22,SDG,2015-10-18,488,2,60,0,1,237,133,38:00,Sun,6,6,@,GNB,L 20-27,43,65,22,66.2,488,2,0,3.1,0.0,99.7,3,15,4.41,7.5,7.18,8.12,7.76,11.3,17,133,7.8,1,16,29,55.2,237,2,3,18,0,105.1,21,60,2.9,0,548,89,6.16,49,7.55,1,38:00,3:29
23,SDG,2015-10-25,327,3,90,0,2,282,130,29:11,Sun,7,7,,OAK,L 29-37,38,58,20,65.5,327,3,2,5.2,3.4,83.7,1,9,1.69,5.6,5.54,5.12,5.03,8.6,26,130,5.0,1,24,31,77.4,282,3,1,7,0,136.8,21,90,4.3,0,417,80,5.21,58,7.10,2,29:11,3:26
24,SDG,2015-11-01,290,3,81,0,0,293,72,30:06,Sun,8,8,@,BAL,L 26-29,28,37,9,75.7,290,3,0,8.1,0.0,126.1,1,11,2.63,7.8,7.63,9.46,9.21,10.4,25,72,2.9,1,25,37,67.6,293,1,3,26,0,100.4,26,81,3.1,0,371,64,5.80,65,5.62,0,30:06,3:11
25,SDG,2015-11-09,262,1,77,0,1,337,109,26:25,Mon,9,9,,CHI,L 19-22,26,42,16,61.9,262,1,0,2.4,0.0,89.4,2,18,4.55,6.2,5.95,6.71,6.41,10.1,29,109,3.8,1,27,40,67.5,337,2,1,8,1,99.7,19,77,4.1,0,339,63,5.38,70,6.37,1,26:25,3:06
26,SDG,2015-11-22,149,0,52,0,2,232,153,26:32,Sun,10,11,,KAN,L 3-33,19,30,11,63.3,149,0,1,0.0,3.3,65.7,3,29,9.09,5.0,4.52,3.47,3.15,7.8,31,153,4.9,3,20,25,80.0,232,0,3,21,0,105.3,25,52,2.1,0,201,58,3.47,59,6.53,2,26:32,2:58
27,SDG,2015-11-29,290,4,79,0,0,318,102,31:24,Sun,11,12,@,JAX,W 31-25,29,43,14,67.4,290,4,0,9.3,0.0,118.4,2,10,4.44,6.7,6.44,8.60,8.22,10.0,19,102,5.4,0,30,49,61.2,318,2,2,11,1,85.2,26,79,3.0,0,369,71,5.20,70,6.00,0,31:24,3:19
28,SDG,2015-12-06,179,0,93,0,3,159,134,27:03,Sun,12,13,,DEN,L 3-17,18,35,17,51.4,179,0,1,0.0,2.9,57.1,4,23,10.26,5.1,4.59,3.83,3.44,9.9,39,134,3.4,0,16,26,61.5,159,1,1,7,1,75.6,23,93,4.0,0,272,62,4.39,66,4.44,3,27:03,3:03
29,SDG,2015-12-13,236,0,44,0,1,179,150,31:08,Sun,13,14,@,KAN,L 3-10,24,43,19,55.8,236,0,1,0.0,2.3,64.4,5,27,10.42,5.5,4.92,4.44,3.98,9.8,25,150,6.0,0,15,23,65.2,179,1,2,12,1,85.2,18,44,2.4,0,280,66,4.24,50,6.58,1,31:08,2:57
30,SDG,2015-12-20,302,3,140,1,2,187,44,38:53,Sun,14,15,,MIA,W 30-14,26,36,10,72.2,302,3,2,8.3,5.6,102.9,1,9,2.70,8.4,8.16,7.56,7.35,11.6,19,44,2.3,2,20,34,58.8,187,0,3,29,0,74.0,36,140,3.9,1,442,73,6.05,56,4.13,2,38:53,3:16
31,SDG,2015-12-24,271,1,72,1,1,175,106,35:04,Thu,15,16,@,OAK,L 20-23 (OT),31,49,18,63.3,271,1,0,2.0,0.0,85.2,1,6,2.00,5.5,5.42,5.94,5.82,8.7,24,106,4.4,1,23,38,60.5,175,1,3,29,1,69.5,25,72,2.9,1,343,75,4.57,65,4.32,1,35:04,3:52
32,SDG,2016-01-03,207,2,110,0,1,293,210,34:32,Sun,16,17,@,DEN,L 20-27,21,35,14,60.0,207,2,1,5.7,2.9,86.4,3,21,7.89,5.9,5.45,5.77,5.32,9.9,32,210,6.6,2,19,31,61.3,293,1,2,8,2,76.4,29,110,3.8,0,317,67,4.73,65,7.74,1,34:32,3:21
33,SDG,2016-09-11,233,1,155,2,0,330,83,34:01,Sun,1,1,@,KAN,L 27-33 (OT),25,36,11,69.4,233,1,0,2.8,0.0,97.3,1,10,2.70,6.5,6.30,7.03,6.84,9.3,19,83,4.4,2,34,48,70.8,330,2,3,33,1,95.0,32,155,4.8,2,388,69,5.62,70,5.90,0,34:01,3:34
34,SDG,2016-09-18,207,4,150,1,1,319,69,34:52,Sun,2,2,,JAX,W 38-14,17,25,8,68.0,207,4,0,16.0,0.0,135.0,3,13,10.71,8.3,7.39,11.48,10.25,12.2,11,69,6.3,0,31,50,62.0,319,2,2,10,2,77.0,35,150,4.3,1,357,63,5.67,63,6.16,1,34:52,3:14
35,SDG,2016-09-25,315,0,37,1,3,317,93,27:17,Sun,3,3,@,IND,L 22-26,26,39,13,66.7,315,0,0,0.0,0.0,92.5,2,11,4.88,8.1,7.68,8.08,7.68,12.1,26,93,3.6,2,24,37,64.9,317,1,2,14,1,89.6,17,37,2.2,1,352,58,6.07,65,6.31,3,27:17,3:23
36,SDG,2016-10-02,308,2,38,2,3,192,83,27:21,Sun,4,4,,NOR,L 34-35,28,43,15,65.1,308,2,1,4.7,2.3,93.3,3,13,6.52,7.2,6.70,7.05,6.59,11.0,34,83,2.4,3,23,36,63.9,192,2,2,15,2,72.9,21,38,1.8,2,346,67,5.16,72,3.82,3,27:21,3:22
37,SDG,2016-10-09,351,4,72,0,4,300,89,23:42,Sun,5,5,@,OAK,L 31-34,21,30,9,70.0,351,4,2,13.3,6.7,122.1,2,8,6.25,11.7,10.97,11.37,10.66,16.7,25,89,3.6,1,25,40,62.5,300,2,3,17,1,91.7,19,72,3.8,0,423,51,8.29,68,5.72,4,23:42,3:15
38,SDG,2016-10-13,166,1,99,0,2,220,84,33:28,Thu,6,6,,DEN,W 21-13,18,29,11,62.1,166,1,0,3.4,0.0,90.9,2,12,6.45,5.7,5.35,6.41,6.00,9.2,16,84,5.3,0,30,50,60.0,220,1,2,10,0,77.1,29,99,3.4,0,265,60,4.42,68,4.47,2,33:28,3:18
39,SDG,2016-10-23,348,1,78,2,2,256,130,35:29,Sun,7,7,@,ATL,W 33-30 (OT),27,45,18,60.0,348,1,1,2.2,2.2,84.6,4,23,8.16,7.7,7.10,7.18,6.59,12.9,26,130,5.0,1,22,34,64.7,256,1,3,17,1,84.9,26,78,3.0,2,426,75,5.68,63,6.13,2,35:29,3:31
40,SDG,2016-10-30,246,2,123,0,3,267,57,33:08,Sun,8,8,@,DEN,L 19-27,20,47,27,42.6,246,2,3,4.3,6.4,48.8,4,21,7.84,5.2,4.82,3.21,2.96,12.3,25,57,2.3,2,20,38,52.6,267,0,1,9,1,64.3,26,123,4.7,0,369,77,4.79,64,5.06,3,33:08,3:29
41,SDG,2016-11-06,268,2,208,1,0,313,80,36:29,Sun,9,9,,TEN,W 43-35,24,33,9,72.7,268,2,0,6.1,0.0,117.6,1,7,2.94,8.1,7.88,9.33,9.06,11.2,19,80,4.2,2,27,43,62.8,313,3,0,0,2,88.6,39,208,5.3,1,476,73,6.52,62,6.34,0,36:29,3:20
42,SDG,2016-11-13,309,3,70,0,4,231,106,32:59,Sun,10,10,,MIA,L 24-31,23,44,21,52.3,309,3,4,6.8,9.1,61.4,3,17,6.38,7.0,6.57,4.30,4.02,13.4,25,106,4.2,1,17,24,70.8,231,2,1,9,0,129.0,24,70,2.9,0,379,71,5.34,50,6.74,4,32:59,3:20
43,SDG,2016-11-27,235,3,67,0,1,239,114,29:59,Sun,11,12,@,HOU,W 21-13,22,30,8,73.3,235,3,1,10.0,3.3,116.3,1,7,3.23,7.8,7.58,8.33,8.06,10.7,27,114,4.2,1,22,37,59.5,239,0,1,7,3,44.8,18,67,3.7,0,302,49,6.16,65,5.43,1,29:59,3:04
44,SDG,2016-12-04,211,2,119,1,2,268,81,28:19,Sun,12,13,,TAM,L 21-28,15,26,11,57.7,211,2,2,7.7,7.7,79.8,2,14,7.14,8.1,7.54,6.19,5.75,14.1,30,81,2.7,1,20,30,66.7,268,1,1,12,1,92.1,25,119,4.8,1,330,53,6.23,61,5.72,2,28:19,3:04
45,SDG,2016-12-11,220,2,58,0,5,146,126,27:23,Sun,13,14,@,CAR,L 16-28,21,39,18,53.8,220,2,3,5.1,7.7,57.2,5,16,11.36,5.6,5.00,3.21,2.84,10.5,38,126,3.3,1,10,27,37.0,146,1,2,14,1,52.4,20,58,2.9,0,278,64,4.34,67,4.06,5,27:23,3:25
46,SDG,2016-12-18,190,2,73,0,2,200,145,27:43,Sun,14,15,,OAK,L 16-19,17,30,13,56.7,190,2,1,6.7,3.3,86.2,3,16,9.09,6.3,5.76,6.17,5.61,11.2,29,145,5.0,0,19,30,63.3,200,1,2,13,1,79.9,22,73,3.3,0,263,55,4.78,61,5.66,2,27:43,3:11
47,SDG,2016-12-24,322,2,34,0,1,127,124,27:31,Sat,15,16,@,CLE,L 17-20,23,46,23,50.0,322,2,1,4.3,2.2,78.4,0,0,0.00,7.0,7.00,6.89,6.89,14.0,29,124,4.3,2,19,28,67.9,127,0,9,48,0,77.5,19,34,1.8,0,356,65,5.48,66,3.80,1,27:31,3:15
48,SDG,2017-01-01,269,2,129,0,2,262,103,29:12,Sun,16,17,,KAN,L 27-37,22,38,16,57.9,269,2,2,5.3,5.3,75.4,0,0,0.00,7.1,7.08,5.76,5.76,12.2,31,103,3.3,1,21,28,75.0,262,2,1,2,1,112.5,26,129,5.0,0,398,64,6.22,60,6.08,2,29:12,3:10
49,LAC,2017-09-11,185,3,64,0,1,181,140,25:47,Mon,1,1,@,DEN,L 21-24,22,33,11,66.7,185,3,1,9.1,3.0,99.6,1,7,2.94,5.6,5.44,6.06,5.88,8.4,36,140,3.9,1,17,28,60.7,181,2,4,38,1,88.5,22,64,2.9,0,249,56,4.45,68,4.72,1,25:47,2:54
50,LAC,2017-09-17,323,1,44,1,0,225,111,26:38,Sun,2,2,,MIA,L 17-19,31,39,8,79.5,323,1,0,2.6,0.0,110.6,1,8,2.50,8.3,8.08,8.79,8.58,10.4,32,111,3.5,0,24,34,70.6,225,1,2,5,0,98.3,14,44,3.1,1,367,54,6.80,68,4.94,0,26:38,2:54
51,LAC,2017-09-24,226,0,104,1,3,122,189,29:34,Sun,3,3,,KAN,L 10-24,20,40,20,50.0,226,0,3,0.0,7.5,37.2,2,11,4.76,5.7,5.38,2.28,2.17,11.3,25,189,7.6,1,16,21,76.2,122,2,5,33,0,121.5,26,104,4.0,1,330,68,4.85,51,6.10,3,29:34,3:08
