Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
143,ARI,2022-12-18,167,0,73,1,3,156,168,27:02,Sun,14,15,@,DEN,L 15-24,20,36,16,55.6,167,0,3,0.0,8.3,33.7,3,6,7.69,4.6,4.28,0.89,0.82,8.4,34,168,4.9,2,21,26,80.8,156,1,7,41,1,88.5,20,73,3.7,1,240,59,4.07,67,4.84,3,27:02,2:58
144,ARI,2022-12-25,204,0,121,1,3,281,115,29:22,Sun,15,16,,TAM,L 16-19 (OT),25,46,21,54.3,204,0,1,0.0,2.2,58.3,1,17,2.13,4.4,4.34,3.46,3.38,8.2,30,115,3.8,0,32,48,66.7,281,1,0,0,2,71.6,27,121,4.5,1,325,74,4.39,78,5.08,3,29:22,3:31
145,ARI,2023-01-01,213,1,126,0,0,166,132,27:36,Sun,16,17,@,ATL,L 19-20,24,40,16,60.0,213,1,0,2.5,0.0,83.5,2,9,4.76,5.3,5.07,5.83,5.55,8.9,34,132,3.9,2,19,26,73.1,166,0,1,3,0,89.6,27,126,4.7,0,339,69,4.91,61,4.89,0,27:36,2:56
146,ARI,2023-01-08,194,1,61,1,4,142,169,25:46,Sun,17,18,@,SFO,L 13-38,20,27,7,74.1,194,1,3,3.7,11.1,68.8,3,15,10.00,7.2,6.47,2.93,2.63,9.7,37,169,4.6,2,15,20,75.0,142,3,4,36,0,133.7,20,61,3.1,1,255,50,5.10,61,5.10,4,25:46,2:52
147,ARI,2023-09-10,114,0,96,0,2,156,92,28:36,Sun,1,1,@,WAS,L 16-20,21,30,9,70.0,114,0,0,0.0,0.0,78.7,3,18,9.09,3.8,3.45,3.80,3.45,5.4,28,92,3.3,1,19,31,61.3,156,1,6,46,1,71.4,25,96,3.8,0,210,58,3.62,65,3.82,2,28:36,3:08
148,ARI,2023-09-17,228,1,151,2,0,312,127,30:37,Sun,2,2,,NYG,L 28-31,21,31,10,67.7,228,1,0,3.2,0.0,99.9,0,0,0.00,7.4,7.35,8.00,8.00,10.9,27,127,4.7,2,26,37,70.3,312,2,3,9,1,102.5,29,151,5.2,2,379,60,6.32,67,6.55,0,30:37,3:11
149,ARI,2023-09-24,178,1,222,2,0,231,185,25:27,Sun,3,3,,DAL,W 28-16,17,21,4,81.0,178,1,0,4.8,0.0,120.0,2,11,8.70,8.5,7.74,9.43,8.61,10.5,33,185,5.6,0,25,40,62.5,231,1,2,18,1,76.1,30,222,7.4,2,400,53,7.55,75,5.55,0,25:27,2:56
150,ARI,2023-10-01,257,2,105,0,0,271,124,30:46,Sun,4,4,@,SFO,L 16-35,28,41,13,68.3,257,2,0,4.9,0.0,102.2,1,8,2.38,6.3,6.12,7.24,7.07,9.2,31,124,4.0,4,20,21,95.2,271,1,1,12,0,134.6,25,105,4.2,0,362,67,5.40,53,7.45,0,30:46,2:51
151,ARI,2023-10-08,152,2,142,1,3,287,93,21:50,Sun,5,5,,CIN,L 20-34,15,32,17,46.9,152,2,2,6.3,6.3,57.6,3,14,8.57,4.8,4.34,3.19,2.91,10.1,30,93,3.1,0,36,46,78.3,287,3,3,30,1,105.3,22,142,6.5,1,294,57,5.16,79,4.81,3,21:50,3:01
152,ARI,2023-10-15,215,0,130,0,2,203,179,30:30,Sun,6,6,@,LAR,L 9-26,21,41,20,51.2,215,0,1,0.0,2.4,58.5,2,20,4.65,5.2,5.00,4.15,3.95,10.2,28,179,6.4,1,15,24,62.5,203,1,3,23,0,103.3,30,130,4.3,0,345,73,4.73,55,6.95,2,30:30,3:01
153,ARI,2023-10-22,122,0,127,1,0,203,115,29:28,Sun,7,7,@,SEA,L 10-20,20,34,14,58.8,122,0,0,0.0,0.0,69.5,4,28,10.53,3.6,3.21,3.59,3.21,6.1,32,115,3.6,0,18,24,75.0,203,2,2,16,1,110.2,25,127,5.1,1,249,63,3.95,58,5.48,0,29:28,3:00
154,ARI,2023-10-29,181,2,129,1,2,138,130,30:21,Sun,8,8,,BAL,L 24-31,25,37,12,67.6,181,2,2,5.4,5.4,77.3,2,27,5.13,4.9,4.64,3.54,3.36,7.2,29,130,4.5,3,18,27,66.7,138,1,4,19,0,91.3,32,129,4.0,1,310,71,4.37,60,4.47,2,30:21,3:10
155,ARI,2023-11-05,17,0,41,0,3,213,113,23:35,Sun,9,9,@,CLE,L 0-27,11,20,9,55.0,17,0,2,0.0,10.0,20.8,7,41,25.93,0.9,0.63,-3.65,-2.70,1.5,40,113,2.8,1,19,30,63.3,213,2,1,6,0,106.7,21,41,2.0,0,58,48,1.21,71,4.59,3,23:35,2:58
156,ARI,2023-11-12,230,0,122,2,1,70,184,28:18,Sun,10,10,,ATL,W 25-23,19,32,13,59.4,230,0,1,0.0,3.1,71.0,2,19,5.88,7.2,6.76,5.78,5.44,12.1,41,184,4.5,2,12,21,57.1,70,1,3,24,0,79.5,26,122,4.7,2,352,60,5.87,65,3.91,1,28:18,3:02
157,ARI,2023-11-19,196,1,123,1,2,308,111,28:45,Sun,11,11,@,HOU,L 16-21,20,30,10,66.7,196,1,1,3.3,3.3,84.6,3,18,9.09,6.5,5.94,5.70,5.18,9.8,25,111,4.4,1,28,38,73.7,308,2,4,30,3,81.9,25,123,4.9,1,319,58,5.50,67,6.25,2,28:45,2:51
158,ARI,2023-11-26,219,1,73,1,0,229,228,25:08,Sun,12,12,,LAR,L 14-37,27,45,18,60.0,219,1,0,2.2,0.0,83.2,4,37,8.16,4.9,4.47,5.31,4.88,8.1,33,228,6.9,1,25,33,75.8,229,4,0,0,1,121.1,15,73,4.9,1,292,64,4.56,66,6.92,0,25:08,3:00
