Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
100,LAR,2020-10-04,182,1,58,1,1,159,136,26:42,Sun,4,4,,NYG,W 17-9,25,32,7,78.1,1,0,3.1,0.0,103.1,2,18,5.88,5.7,5.35,6.31,5.94,7.3,25,5.4,0,23,36,63.9,0,5,31,1,62.2,23,2.5,240,57,4.21,66,4.47,1,2:43
101,LAR,2020-10-11,300,2,129,2,1,70,38,35:35,Sun,5,5,@,WAS,W 30-10,21,30,9,70.0,2,1,6.7,3.3,111.7,1,9,3.23,10.0,9.68,9.83,9.52,14.3,14,2.7,1,18,30,60.0,0,8,41,0,64.6,35,3.7,429,66,6.50,52,2.08,1,2:58
102,LAR,2020-10-18,198,2,113,0,1,268,122,22:05,Sun,6,6,@,SFO,L 16-24,19,38,19,50.0,2,1,5.3,2.6,72.0,0,0,0.00,5.2,5.21,5.08,5.08,10.4,37,3.3,0,23,33,69.7,3,0,0,0,124.3,19,5.9,311,57,5.46,70,5.57,1,3:04
103,LAR,2020-10-26,211,2,160,1,1,230,49,32:35,Mon,7,7,,CHI,W 24-10,23,33,10,69.7,2,0,6.1,0.0,108.1,1,9,2.94,6.4,6.21,7.61,7.38,9.2,17,2.9,0,28,40,70.0,0,4,31,2,63.5,34,4.7,371,68,5.46,61,4.57,1,3:07
104,LAR,2020-11-01,340,1,131,1,4,90,55,36:30,Sun,8,8,@,MIA,L 17-28,35,61,26,57.4,1,2,1.6,3.3,65.9,2,15,3.17,5.6,5.40,4.43,4.29,9.7,25,2.2,1,12,22,54.5,1,1,3,0,79.7,29,4.5,471,92,5.12,48,3.02,4,3:22
105,LAR,2020-11-15,283,0,106,3,1,220,113,33:36,Sun,9,10,,SEA,W 23-16,27,37,10,73.0,0,0,0.0,0.0,96.9,3,19,7.50,7.6,7.08,7.65,7.08,10.5,22,5.1,1,22,37,59.5,0,6,28,2,53.9,29,3.7,389,69,5.64,65,5.12,1,3:04
106,LAR,2020-11-23,376,3,37,0,2,209,42,33:13,Mon,10,11,@,TAM,W 27-24,39,51,12,76.5,3,2,5.9,3.9,99.8,0,0,0.00,7.4,7.37,6.78,6.78,9.6,18,2.3,1,26,48,54.2,2,1,7,2,61.9,20,1.9,413,71,5.82,67,3.75,2,3:06
107,LAR,2020-11-29,182,0,126,1,4,233,112,25:57,Sun,11,12,,SFO,L 20-23,19,31,12,61.3,0,2,0.0,6.5,52.9,2,16,6.06,5.9,5.52,2.97,2.79,9.6,33,3.4,1,24,35,68.6,0,2,19,1,75.1,28,4.5,308,61,5.05,70,4.93,4,3:11
108,LAR,2020-12-06,344,1,119,3,1,140,92,38:53,Sun,12,13,@,ARI,W 38-28,37,47,10,78.7,1,0,2.1,0.0,104.9,1,7,2.08,7.3,7.17,7.74,7.58,9.3,21,4.4,1,21,39,53.8,3,2,33,1,76.9,31,3.8,463,79,5.86,62,3.74,1,3:13
109,LAR,2020-12-10,132,1,186,1,1,113,107,31:46,Thu,13,14,,NWE,W 24-3,16,25,9,64.0,1,1,4.0,4.0,74.9,1,5,3.85,5.3,5.08,4.28,4.12,8.3,29,3.7,0,14,23,60.9,0,6,33,1,55.2,36,5.2,318,62,5.13,58,3.79,1,2:47
110,LAR,2020-12-20,189,2,114,0,1,196,93,25:45,Sun,14,15,,NYJ,L 20-23,22,34,12,64.7,2,1,5.9,2.9,89.0,3,20,8.11,5.6,5.11,5.41,4.97,8.6,31,3.0,1,22,31,71.0,1,2,11,0,98.3,19,6.0,303,56,5.41,64,4.52,1,2:56
