Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,DAL,2014-09-07,255,1,127,1,4,192,127,31:24,Sun,1,1,,SFO,L 17-28,23,37,14,62.2,1,3,2.7,8.1,60.8,3,26,7.50,6.9,6.38,3.78,3.50,11.1,30,4.2,1,16,23,69.6,2,1,9,0,123.8,23,5.5,382,63,6.06,54,5.91,4,3:04
2,DAL,2014-09-14,148,1,220,1,1,232,82,41:11,Sun,2,2,@,TEN,W 26-10,19,29,10,65.5,1,0,3.4,0.0,93.5,4,28,12.12,5.1,4.48,5.79,5.09,7.8,13,6.3,0,18,34,52.9,1,2,2,2,59.9,43,5.1,368,76,4.84,49,6.41,1,2:56
3,DAL,2014-09-21,217,2,123,1,2,327,121,27:10,Sun,3,3,@,LAR,W 34-31,18,23,5,78.3,2,1,8.7,4.3,116.8,0,0,0.00,9.4,9.43,9.22,9.22,12.1,30,4.0,0,30,42,71.4,3,0,0,2,98.0,29,4.2,340,52,6.54,72,6.22,2,3:02
4,DAL,2014-09-28,255,3,190,2,0,334,104,34:45,Sun,4,4,,NOR,W 38-17,22,29,7,75.9,3,0,10.3,0.0,137.4,1,7,3.33,8.8,8.50,10.86,10.50,11.6,13,8.0,0,32,44,72.7,2,2,6,1,100.0,35,5.4,445,65,6.85,59,7.42,0,3:00
5,DAL,2014-10-05,316,2,140,0,3,154,176,36:07,Sun,5,5,,HOU,W 20-17 (OT),28,41,13,68.3,2,1,4.9,2.4,98.0,1,8,2.38,7.7,7.52,7.59,7.40,11.3,31,5.7,2,16,25,64.0,0,0,0,1,64.4,33,4.2,456,75,6.08,56,5.89,3,3:11
6,DAL,2014-10-12,239,2,162,1,2,126,80,37:39,Sun,6,6,@,SEA,W 30-23,21,32,11,65.6,2,0,6.3,0.0,110.2,1,11,3.03,7.5,7.24,8.72,8.45,11.4,18,4.4,1,14,28,50.0,0,2,0,1,47.6,36,4.5,401,69,5.81,48,4.29,2,3:06
7,DAL,2014-10-19,267,3,156,1,1,248,104,33:49,Sun,7,7,,NYG,W 31-21,17,23,6,73.9,3,1,13.0,4.3,135.7,2,12,8.00,11.6,10.68,12.26,11.28,15.7,26,4.0,0,21,33,63.6,3,0,0,0,116.7,35,4.5,423,60,7.05,59,5.97,1,2:59
8,DAL,2014-10-27,224,2,171,0,2,286,123,28:37,Mon,8,8,,WAS,L 17-20 (OT),21,34,13,61.8,2,0,5.9,0.0,107.2,5,54,12.82,6.6,5.74,7.76,6.77,10.7,31,4.0,2,25,30,83.3,0,3,13,1,92.5,25,6.8,395,64,6.17,64,6.39,2,3:13
9,DAL,2014-11-02,174,1,92,0,2,237,102,28:32,Sun,9,9,,ARI,L 17-28,18,33,15,54.5,1,2,3.0,6.1,55.5,1,9,2.94,5.3,5.12,3.15,3.06,9.7,29,3.5,1,22,34,64.7,3,2,12,1,102.2,25,3.7,266,59,4.51,65,5.22,2,2:56
10,DAL,2014-11-09,248,3,151,1,1,262,71,31:32,Sun,10,10,@,JAX,W 31-17,21,28,7,75.0,3,0,10.7,0.0,138.1,1,6,3.45,8.9,8.55,11.00,10.62,11.8,24,3.0,2,22,37,59.5,0,4,28,1,69.9,30,5.0,399,59,6.76,65,5.12,1,3:08
11,DAL,2014-11-23,266,4,119,0,1,328,89,24:53,Sun,11,12,@,NYG,W 31-28,18,26,8,69.2,4,0,15.4,0.0,143.4,2,9,7.14,10.2,9.50,13.31,12.36,14.8,32,2.8,1,29,40,72.5,3,2,10,1,111.2,25,4.8,385,53,7.26,74,5.64,1,3:18
12,DAL,2014-11-27,174,0,93,1,3,208,256,29:35,Thu,12,13,,PHI,L 10-33,18,29,11,62.1,0,2,0.0,6.9,53.7,4,25,12.12,6.0,5.27,2.90,2.55,9.7,45,5.7,2,20,29,69.0,1,1,9,0,100.9,25,3.7,267,58,4.60,75,6.19,3,3:13
13,DAL,2014-12-04,203,3,194,2,0,341,35,32:28,Thu,13,14,@,CHI,W 41-28,21,26,5,80.8,3,0,11.5,0.0,138.0,1,2,3.70,7.8,7.52,10.12,9.74,9.7,15,2.3,2,32,46,69.6,2,0,0,1,96.4,35,5.5,397,62,6.40,61,6.16,0,3:08
14,DAL,2014-12-14,249,3,115,2,1,219,75,41:55,Sun,14,15,@,PHI,W 38-27,22,31,9,71.0,3,0,9.7,0.0,129.1,3,16,8.82,8.0,7.32,9.97,9.09,11.3,21,3.6,3,17,28,60.7,0,4,33,2,55.5,42,2.7,364,76,4.79,53,5.55,1,3:04
15,DAL,2014-12-21,250,5,127,1,1,228,1,35:29,Sun,15,16,,IND,W 42-7,19,21,2,90.5,5,0,23.8,0.0,158.0,1,11,4.55,11.9,11.36,16.67,15.91,13.2,10,0.1,0,30,44,68.2,1,2,7,2,69.1,40,3.2,377,62,6.08,56,4.09,1,2:49
16,DAL,2014-12-28,299,2,174,2,1,309,104,30:24,Sun,16,17,@,WAS,W 44-17,22,34,12,64.7,2,1,5.9,2.9,100.0,0,0,0.00,8.8,8.79,8.65,8.65,13.6,24,4.3,1,27,41,65.9,1,3,27,2,76.2,27,6.4,473,61,7.75,68,6.07,1,3:12
