Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rusing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
12,LVR,2014-11-30,183,0,61,0,5,176,172,36:56,Sun,12,13,@,LAR,L 0-52,29,48,19,60.4,0,3,0.0,6.3,46.4,6,47,11.11,3.8,3.39,1.00,0.89,6.3,26,6.6,4,13,22,59.1,2,1,7,0,115.0,21,2.9,244,75,3.25,49,7.10,5,3:11
13,LVR,2014-12-07,245,3,85,0,0,151,97,32:55,Sun,13,14,,SFO,W 24-13,22,28,6,78.6,3,0,10.7,0.0,140.2,1,9,3.45,8.8,8.45,10.89,10.52,11.1,18,5.4,0,18,33,54.5,1,5,23,2,51.5,31,2.7,330,60,5.50,56,4.43,0,3:04
14,LVR,2014-12-14,202,1,78,0,1,295,93,30:00,Sun,14,15,@,KAN,L 13-31,27,56,29,48.2,1,0,1.8,0.0,64.7,4,20,6.67,3.6,3.37,3.96,3.70,7.5,27,3.4,1,18,31,58.1,2,1,2,0,111.6,17,4.6,280,77,3.64,59,6.58,1,3:24
15,LVR,2014-12-21,207,2,140,0,0,308,13,33:47,Sun,15,16,,BUF,W 26-24,17,34,17,50.0,2,0,5.9,0.0,89.6,1,7,2.86,6.1,5.91,7.26,7.06,12.2,13,1.0,0,32,49,65.3,3,2,21,2,86.1,36,3.9,347,71,4.89,64,5.02,0,3:19
16,LVR,2014-12-28,132,1,67,0,2,309,142,26:59,Sun,16,17,@,DEN,L 14-47,18,36,18,50.0,1,1,2.8,2.8,59.7,3,26,7.69,3.7,3.38,2.97,2.74,7.3,34,4.2,3,23,39,59.0,1,1,3,0,92.8,18,3.7,199,57,3.49,74,6.09,2,3:18
17,LVR,2015-09-13,183,2,63,0,2,269,127,27:28,Sun,1,1,,CIN,L 13-33,30,43,13,69.8,2,1,4.7,2.3,85.7,2,20,4.44,4.3,4.07,4.14,3.96,6.1,31,4.1,2,25,34,73.5,2,0,0,0,115.9,16,3.9,246,61,4.03,65,6.09,2,3:02
18,LVR,2015-09-20,351,3,97,1,1,384,109,29:33,Sun,2,2,,BAL,W 37-33,30,46,16,65.2,3,1,6.5,2.2,100.9,1,0,2.13,7.6,7.47,7.96,7.79,11.7,25,4.4,1,32,45,71.1,2,0,0,1,102.5,19,5.1,448,66,6.79,70,7.04,1,3:25
19,LVR,2015-09-27,314,2,155,1,1,316,39,32:29,Sun,3,3,@,CLE,W 27-20,20,32,12,62.5,2,0,6.3,0.0,115.9,0,0,0.00,9.8,9.81,11.06,11.06,15.7,14,2.8,0,28,49,57.1,2,5,25,1,81.7,30,5.2,469,62,7.56,68,5.22,1,3:20
20,LVR,2015-10-04,173,2,70,0,2,273,98,26:38,Sun,4,4,@,CHI,L 20-22,20,33,13,60.6,2,1,6.1,3.0,84.9,2,23,5.71,5.2,4.94,5.09,4.80,8.7,29,3.4,0,28,43,65.1,2,3,8,1,88.6,22,3.2,243,57,4.26,75,4.95,2,3:18
21,LVR,2015-10-11,223,1,65,0,3,254,43,34:09,Sun,5,5,,DEN,L 10-16,26,39,13,66.7,1,1,2.6,2.6,82.1,4,26,9.30,5.7,5.19,5.08,4.60,8.6,18,2.4,0,22,35,62.9,0,2,12,2,60.9,25,2.6,288,68,4.24,55,5.40,3,3:02
22,LVR,2015-10-25,282,3,130,1,0,327,90,30:49,Sun,6,7,@,LAC,W 37-29,24,31,7,77.4,3,0,9.7,0.0,137.7,1,7,3.13,9.1,8.81,11.03,10.69,11.8,21,4.3,0,38,58,65.5,3,1,9,2,83.0,26,5.0,412,58,7.10,80,5.21,0,3:26
23,LVR,2015-11-01,333,4,118,0,0,292,74,30:38,Sun,7,8,,NYJ,W 34-20,23,36,13,63.9,4,0,11.1,0.0,130.9,0,0,0.00,9.3,9.25,11.47,11.47,14.5,21,3.5,0,31,47,66.0,2,3,19,1,88.3,25,4.7,451,61,7.39,71,5.15,0,3:08
24,LVR,2015-11-08,301,4,139,1,4,402,195,27:56,Sun,8,9,@,PIT,L 35-38,24,44,20,54.5,4,1,9.1,2.3,96.9,0,0,0.00,6.8,6.84,7.64,7.64,12.5,30,6.5,2,28,50,56.0,2,1,11,1,87.2,25,5.6,440,69,6.38,81,7.37,4,3:47
25,LVR,2015-11-15,287,2,84,0,2,122,263,26:59,Sun,9,10,,MIN,L 14-30,29,43,14,67.4,2,2,4.7,4.7,83.7,2,15,4.44,6.7,6.38,5.51,5.27,9.9,33,8.0,1,14,22,63.6,1,4,18,0,93.4,19,4.4,371,64,5.80,59,6.53,2,3:06
26,LVR,2015-11-22,164,0,52,1,0,266,109,23:58,Sun,10,11,@,DET,L 13-18,13,25,12,52.0,0,0,0.0,0.0,73.6,1,5,3.85,6.6,6.31,6.56,6.31,12.6,31,3.5,1,22,35,62.9,0,4,16,0,86.1,21,2.5,216,47,4.60,70,5.36,0,2:54
27,LVR,2015-11-29,323,3,84,0,2,205,44,34:55,Sun,11,12,@,TEN,W 24-21,24,38,14,63.2,3,0,7.9,0.0,117.2,1,7,2.56,8.5,8.28,10.08,9.82,13.5,18,2.4,0,17,37,45.9,3,2,13,2,68.0,30,2.8,407,69,5.90,57,4.37,2,3:08
28,LVR,2015-12-06,262,2,99,1,3,143,89,34:28,Sun,12,13,,KAN,L 20-34,31,48,17,64.6,2,3,4.2,6.3,68.3,4,21,7.69,5.5,5.04,3.48,3.21,8.5,22,4.0,2,16,22,72.7,2,4,19,0,120.1,24,4.1,361,76,4.75,48,4.83,3,3:04
29,LVR,2015-12-13,99,2,27,0,0,276,34,24:02,Sun,13,14,@,DEN,W 15-12,12,29,17,41.4,2,0,6.9,0.0,79.0,3,36,9.38,3.4,3.09,4.79,4.34,8.3,21,1.6,0,35,51,68.6,0,5,32,0,81.8,23,1.2,126,55,2.29,77,4.03,0,3:18
30,LVR,2015-12-20,252,2,120,0,2,190,103,30:31,Sun,14,15,,GNB,L 20-30,23,47,24,48.9,2,2,4.3,4.3,63.8,3,24,6.00,5.4,5.04,4.30,4.04,11.0,28,3.7,1,22,39,56.4,1,2,14,1,67.3,25,4.8,372,75,4.96,69,4.25,2,3:35
31,LVR,2015-12-24,175,1,106,1,1,271,72,33:21,Thu,15,16,,LAC,W 23-20 (OT),23,38,15,60.5,1,1,2.6,2.6,72.7,3,29,7.32,4.6,4.27,3.95,3.66,7.6,25,2.9,1,31,49,63.3,1,1,6,0,84.7,24,4.4,281,65,4.32,75,4.57,1,3:52
32,LVR,2016-01-03,157,1,48,0,1,150,189,25:05,Sun,16,17,@,KAN,L 17-23,21,33,12,63.6,1,1,3.0,3.0,77.1,6,37,15.38,4.8,4.03,4.00,3.38,7.5,39,4.8,1,15,25,60.0,2,1,9,2,70.4,16,3.0,205,55,3.73,65,5.22,1,2:57
33,LVR,2016-09-11,319,1,167,3,0,419,88,30:25,Sun,1,1,@,NOR,W 35-34,24,38,14,63.2,1,0,2.6,0.0,98.5,0,0,0.00,8.4,8.39,8.92,8.92,13.3,22,4.0,0,28,42,66.7,4,1,4,0,131.0,26,6.4,486,64,7.59,65,7.80,0,4:23
34,LVR,2016-09-18,299,3,155,1,0,389,139,32:45,Sun,2,2,,ATL,L 28-35,34,45,11,75.6,3,0,6.7,0.0,115.0,1,0,2.17,6.6,6.50,7.98,7.80,8.8,29,4.8,1,26,34,76.5,3,1,7,1,130.6,25,6.2,454,71,6.39,64,8.25,0,3:17
35,LVR,2016-09-25,245,1,123,1,1,212,181,29:03,Sun,3,3,@,TEN,W 17-10,21,35,14,60.0,1,1,2.9,2.9,79.3,1,4,2.78,7.0,6.81,6.29,6.11,11.7,29,6.2,1,17,33,51.5,0,1,2,2,46.5,25,4.9,368,61,6.03,63,6.24,1,3:03
