Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing Yards,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing Yards,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards,Rusing Yards per Attempt,Rushing TD,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Time of Possession,Total Time
11,ATL,2014-11-23,252,2,63,1,2,313,162,29:23,Sun,11,12,,CLE,L 24-26,27,43,16,62.8,252,2,1,4.7,2.3,86.7,3,21,6.52,5.9,5.48,5.74,5.37,9.3,29,162,5.6,2,23,41,56.1,313,0,1,9,3,50.2,23,63,2.7,1,315,69,4.57,71,6.69,2,29:23,3:05
12,ATL,2014-11-30,358,2,142,0,1,294,35,37:03,Sun,12,13,,ARI,W 29-18,30,41,11,73.2,358,2,1,4.9,2.4,105.8,1,3,2.38,8.7,8.52,8.61,8.40,11.9,11,35,3.2,0,24,39,61.5,294,1,0,0,2,72.0,34,142,4.2,0,500,76,6.58,50,6.58,1,37:03,3:02
13,ATL,2014-12-08,374,4,91,1,1,323,179,26:59,Mon,13,14,@,GNB,L 37-43,24,39,15,61.5,374,4,1,10.3,2.6,116.9,1,1,2.50,9.6,9.35,10.49,10.23,15.6,30,179,6.0,2,24,36,66.7,323,3,1,4,0,122.8,24,91,3.8,1,465,64,7.27,67,7.49,1,26:59,3:16
14,ATL,2014-12-14,310,2,97,0,1,353,45,29:17,Sun,14,15,,PIT,L 20-27,26,37,11,70.3,310,2,1,5.4,2.7,102.3,0,0,0.00,8.4,8.38,8.24,8.24,11.9,22,45,2.0,2,27,35,77.1,353,0,1,7,0,108.4,20,97,4.9,0,407,57,7.14,58,6.86,1,29:17,2:52
15,ATL,2014-12-21,322,1,81,1,0,271,57,32:09,Sun,15,16,@,NOR,W 30-14,30,40,10,75.0,322,1,0,2.5,0.0,106.5,0,0,0.00,8.1,8.05,8.55,8.55,10.7,18,57,3.2,1,30,47,63.8,271,1,5,42,2,68.7,22,81,3.7,1,403,62,6.50,70,4.69,0,32:09,3:00
16,ATL,2014-12-28,225,0,63,0,3,112,194,28:47,Sun,16,17,,CAR,L 3-34,29,47,18,61.7,225,0,2,0.0,4.3,58.8,6,35,11.32,4.8,4.25,2.87,2.55,7.8,35,194,5.5,1,10,16,62.5,112,1,1,2,0,104.2,16,63,3.9,0,288,69,4.17,52,5.88,3,28:47,2:51
17,ATL,2015-09-14,290,2,105,0,2,336,63,35:27,Mon,1,1,,PHI,W 26-24,23,34,11,67.6,290,2,2,5.9,5.9,90.1,1,8,2.86,8.5,8.29,7.06,6.86,12.6,16,63,3.9,2,36,52,69.2,336,1,0,0,2,77.1,35,105,3.0,0,395,70,5.64,68,5.87,2,35:27,3:03
18,ATL,2015-09-20,346,1,56,2,0,291,97,31:35,Sun,2,2,@,NYG,W 24-20,30,46,16,65.2,346,1,0,2.2,0.0,96.6,2,17,4.17,7.5,7.21,7.96,7.63,11.5,23,97,4.2,0,27,40,67.5,291,2,2,1,0,105.3,22,56,2.5,2,402,70,5.74,65,5.97,0,31:35,3:09
19,ATL,2015-09-27,280,2,158,3,0,220,127,34:13,Sun,3,3,@,DAL,W 39-28,24,36,12,66.7,280,2,0,5.6,0.0,109.1,1,5,2.70,7.8,7.57,8.89,8.65,11.7,21,127,6.0,4,22,26,84.6,220,0,2,12,1,85.9,32,158,4.9,3,438,69,6.35,49,7.08,0,34:13,2:56
20,ATL,2015-10-04,243,1,135,4,0,374,54,35:52,Sun,4,4,,HOU,W 48-21,19,27,8,70.4,243,1,0,3.7,0.0,112.6,2,13,6.90,9.0,8.38,9.74,9.07,12.8,17,54,3.2,1,29,57,50.9,374,2,1,8,1,76.2,35,135,3.9,4,378,64,5.91,75,5.71,0,35:52,3:18
21,ATL,2015-10-11,242,0,176,1,3,219,51,34:56,Sun,5,5,,WAS,W 25-19 (OT),24,42,18,57.1,242,0,2,0.0,4.8,55.1,3,12,6.67,5.8,5.38,3.62,3.38,10.1,24,51,2.1,1,21,32,65.6,219,1,1,0,2,69.7,32,176,5.5,1,418,77,5.43,57,4.74,3,34:56,3:11
22,ATL,2015-10-15,263,2,150,1,3,304,81,27:30,Thu,6,6,@,NOR,L 21-31,30,44,14,68.2,263,2,0,4.5,0.0,102.0,5,32,10.20,6.0,5.37,6.89,6.18,8.8,32,81,2.5,2,30,39,76.9,304,1,1,8,0,107.2,21,150,7.1,1,413,70,5.90,72,5.35,3,27:30,3:07
23,ATL,2015-10-25,251,1,127,0,2,179,77,34:45,Sun,7,7,@,TEN,W 10-7,22,38,16,57.9,251,1,2,2.6,5.3,64.7,0,0,0.00,6.6,6.61,4.76,4.76,11.4,16,77,4.8,0,22,35,62.9,179,1,1,8,2,61.5,31,127,4.1,0,378,69,5.48,52,4.92,2,34:45,2:57
24,ATL,2015-11-01,395,2,101,0,4,173,117,39:05,Sun,8,8,,TAM,L 20-23 (OT),37,45,8,82.2,395,2,1,4.4,2.2,109.0,1,2,2.17,8.8,8.59,8.67,8.48,10.7,32,117,3.7,1,16,29,55.2,173,1,2,4,0,84.4,27,101,3.7,0,496,73,6.79,63,4.60,4,39:05,3:34
25,ATL,2015-11-08,285,1,17,0,0,185,133,32:08,Sun,9,9,@,SFO,L 16-17,30,45,15,66.7,285,1,0,2.2,0.0,93.1,2,18,4.26,6.3,6.06,6.78,6.49,9.5,38,133,3.5,0,15,26,57.7,185,2,0,0,2,73.4,14,17,1.2,0,302,61,4.95,64,4.97,0,32:08,3:05
26,ATL,2015-11-22,275,3,100,0,4,202,74,27:21,Sun,10,11,,IND,L 21-24,25,46,21,54.3,275,3,3,6.5,6.5,67.3,1,5,2.13,6.0,5.85,4.35,4.26,11.0,27,74,2.7,0,23,32,71.9,202,2,2,11,2,83.1,24,100,4.2,0,375,71,5.28,61,4.52,4,27:21,3:05
