Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
55,NOR,2017-10-29,2,1,7,51,4,31,2,2,22.2,47.1,Sun,7,8,,CHI,W 20-12,19,7,11,1,9,2,22.2,0,0,,307,1,7,51,4,31,11,82,1,0,0,3,2,0,387,60,6.45,65,4.72,2,31:23,3:08,17,6,9,2,17,8,47.1,1,0,0.0,2,2,2,2,2,0,0,0
56,NOR,2017-11-05,2,1,4,28,7,50,1,1,53.8,30.8,Sun,8,9,,TAM,W 30-10,21,8,13,0,13,7,53.8,0,0,,200,1,4,28,7,50,11,78,1,1,1,2,1,0,407,60,6.78,57,3.51,2,32:18,3:03,14,5,6,3,13,4,30.8,0,0,,4,4,3,2,1,0,0,0
57,NOR,2017-11-12,1,1,4,41,8,56,2,1,50.0,18.2,Sun,9,10,@,BUF,W 47-10,32,20,9,3,12,6,50.0,2,2,100.0,198,1,4,41,8,56,12,97,1,1,1,1,1,0,482,73,6.60,45,4.40,1,41:23,2:57,10,2,7,1,11,2,18.2,1,0,0.0,6,6,5,2,2,0,0,0
58,NOR,2017-11-19,1,0,7,54,9,67,4,1,33.3,33.3,Sun,10,11,,WAS,W 34-31 (OT),27,10,16,1,12,4,33.3,1,1,100.0,456,0,7,54,9,67,16,121,4,4,4,1,1,0,535,66,8.11,67,6.81,1,30:24,3:28,24,6,15,3,12,4,33.3,2,2,100.0,3,2,2,4,4,1,1,0
59,NOR,2017-11-26,0,1,7,112,9,90,2,4,23.1,21.4,Sun,11,12,@,LAR,L 20-26,14,2,10,2,13,3,23.1,1,1,100.0,415,1,7,112,9,90,16,202,2,2,2,5,4,0,346,52,6.65,73,5.68,0,24:34,3:11,24,6,14,4,14,3,21.4,0,0,,2,2,2,2,2,0,0,0
60,NOR,2017-12-03,1,1,7,68,6,54,1,0,40.0,30.0,Sun,12,13,,CAR,W 31-21,19,5,12,2,15,6,40.0,1,1,100.0,279,1,7,68,6,54,13,122,3,3,3,0,0,0,400,64,6.25,53,5.26,1,33:21,3:02,16,4,8,4,10,3,30.0,2,0,0.0,4,4,4,2,1,0,0,0
61,NOR,2017-12-07,1,3,11,87,4,35,1,2,30.0,58.3,Thu,13,14,@,ATL,L 17-20,18,2,16,0,10,3,30.0,1,1,100.0,343,3,11,87,4,35,15,122,2,2,2,2,2,0,306,52,5.88,65,5.28,1,25:19,3:00,26,6,11,9,12,7,58.3,0,0,,2,2,2,1,1,0,0,0
62,NOR,2017-12-17,3,2,8,92,8,50,1,2,30.0,33.3,Sun,14,15,,NYJ,W 31-19,23,7,13,3,10,3,30.0,1,1,100.0,294,2,8,92,8,50,16,142,2,1,1,2,2,0,412,64,6.44,68,4.32,3,29:10,3:20,19,9,7,3,15,5,33.3,1,0,0.0,4,4,4,1,1,0,0,0
63,NOR,2017-12-24,1,2,3,30,10,91,3,2,23.1,15.4,Sun,15,16,,ATL,W 23-13,15,5,9,1,13,3,23.1,1,1,100.0,331,2,3,30,10,91,13,121,1,1,1,2,2,0,315,60,5.25,61,5.43,1,33:48,3:05,15,4,11,0,13,2,15.4,2,1,50.0,2,2,2,3,3,0,0,0
64,NOR,2017-12-31,1,3,7,38,2,15,1,1,50.0,72.2,Sun,16,17,@,TAM,L 24-31,18,8,10,0,12,6,50.0,1,0,0.0,455,3,7,38,2,15,9,53,4,3,2,1,1,0,323,58,5.57,81,5.62,1,28:27,3:09,28,7,19,2,18,13,72.2,1,1,100.0,3,3,3,1,1,0,0,0
