Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
120,JAX,2021-11-07,139,0,79,0,1,229,72,29:22,Sun,8,9,,BUF,W 9-6,17,28,11,60.7,0,0,0.0,0.0,75.1,2,12,6.67,5.0,4.63,4.96,4.63,8.2,14,5.1,0,31,47,66.0,0,4,35,2,59.6,27,218,57,3.82,65,4.63,1,3:10
121,JAX,2021-11-14,152,0,179,2,1,168,127,27:44,Sun,9,10,@,IND,L 17-23,16,35,19,45.7,0,0,0.0,0.0,59.5,3,10,7.89,4.3,4.0,4.34,4.0,9.5,27,4.7,1,22,34,64.7,0,1,12,0,76.6,24,331,62,5.34,62,4.76,1,3:16
122,JAX,2021-11-21,146,0,54,1,2,162,171,21:38,Sun,10,11,,SFO,L 10-30,16,25,9,64.0,0,0,0.0,0.0,81.7,3,12,10.71,5.8,5.21,5.84,5.21,9.1,42,4.1,1,16,22,72.7,2,2,14,0,123.7,16,200,44,4.55,66,5.05,2,2:45
123,JAX,2021-11-28,216,1,141,0,2,183,149,29:08,Sun,11,12,,ATL,L 14-21,23,42,19,54.8,1,1,2.4,2.4,68.4,1,12,2.33,5.1,5.02,4.55,4.44,9.4,29,5.1,2,19,29,65.5,1,1,7,1,80.1,28,357,71,5.03,59,5.63,2,2:55
124,JAX,2021-12-05,136,0,61,1,2,290,128,26:15,Sun,12,13,@,LAR,L 7-37,16,28,12,57.1,0,0,0.0,0.0,71.3,2,9,6.67,4.9,4.53,4.86,4.53,8.5,27,4.7,1,26,38,68.4,3,1,5,0,117.2,25,197,55,3.58,66,6.33,2,2:53
125,JAX,2021-12-12,184,0,8,0,4,161,102,23:03,Sun,13,14,@,TEN,L 0-20,24,40,16,60.0,0,4,0.0,10.0,35.5,3,37,6.98,4.6,4.28,0.1,0.09,7.7,34,3.0,2,20,31,64.5,0,4,30,0,77.5,8,192,51,3.76,69,3.81,4,2:56
126,JAX,2021-12-19,189,0,107,1,0,206,75,29:53,Sun,14,15,,HOU,L 16-30,22,38,16,57.9,0,0,0.0,0.0,73.4,3,21,7.32,5.0,4.61,4.97,4.61,8.6,26,2.9,0,19,30,63.3,2,1,3,1,91.8,25,296,66,4.48,57,4.93,0,3:03
127,JAX,2021-12-26,252,0,132,1,1,100,273,32:18,Sun,15,16,@,NYJ,L 21-26,26,39,13,66.7,0,0,0.0,0.0,87.6,1,28,2.5,6.5,6.3,6.46,6.3,9.7,36,7.6,1,14,22,63.6,1,1,2,0,89.2,31,384,71,5.41,59,6.32,1,3:08
128,JAX,2022-01-02,173,1,80,0,3,290,181,23:14,Sun,16,17,@,NWE,L 10-50,17,27,10,63.0,1,3,3.7,11.1,57.1,2,20,6.9,6.4,5.97,2.15,2.0,10.2,36,5.0,4,25,34,73.5,3,0,0,0,128.3,17,253,46,5.5,70,6.73,3,2:47
129,JAX,2022-01-09,217,2,101,0,0,139,94,33:19,Sun,17,18,,IND,W 26-11,23,32,9,71.9,2,0,6.3,0.0,111.8,1,6,3.03,6.8,6.58,8.03,7.79,9.4,18,5.2,0,17,29,58.6,1,6,46,1,68.0,31,318,64,4.97,53,4.4,0,3:05
