Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
38,PIT,2016-10-16,169,1,128,1,2,252,222,23:30,Sun,6,6,@,MIA,L 15-30,19,35,16,54.3,1,2,2.9,5.7,55.5,2,20,5.41,4.8,4.57,2.83,2.68,8.9,36,6.2,3,24,32,75.0,0,0,0,0,97.4,16,297,53,5.6,68,6.97,2,3:07
39,PIT,2016-10-23,281,1,94,0,1,222,140,32:29,Sun,7,7,,NWE,L 16-27,29,47,18,61.7,1,1,2.1,2.1,76.6,0,0,0.0,6.0,5.98,5.45,5.45,9.7,29,4.8,2,19,26,73.1,2,0,0,0,124.2,22,375,69,5.43,55,6.58,1,3:05
40,PIT,2016-11-06,241,1,36,1,1,224,50,27:50,Sun,8,9,@,BAL,L 14-21,23,45,22,51.1,1,1,2.2,2.2,67.3,2,23,4.26,5.4,5.13,4.8,4.6,10.5,29,1.7,0,19,31,61.3,1,3,26,1,80.6,18,277,65,4.26,63,4.35,1,3:18
41,PIT,2016-11-13,400,3,48,1,0,295,127,29:36,Sun,9,10,,DAL,L 30-35,37,46,9,80.4,3,0,6.5,0.0,125.4,1,8,2.13,8.7,8.51,10.0,9.79,10.8,25,5.1,2,22,32,68.8,2,2,24,0,118.6,19,448,66,6.79,59,7.15,0,3:18
42,PIT,2016-11-20,167,0,146,1,0,176,33,33:58,Sun,10,11,@,CLE,W 24-9,23,36,13,63.9,0,0,0.0,0.0,74.7,0,0,0.0,4.6,4.64,4.64,4.64,7.3,13,2.5,0,21,41,51.2,1,8,70,1,60.6,28,313,64,4.89,62,3.37,0,3:04
43,PIT,2016-11-24,221,3,148,1,0,219,91,28:15,Thu,11,12,@,IND,W 28-7,14,21,7,66.7,3,0,14.3,0.0,141.1,0,0,0.0,10.5,10.52,13.38,13.38,15.8,23,4.0,0,23,37,62.2,1,3,21,2,65.0,29,369,50,7.38,63,4.92,0,2:53
44,PIT,2016-12-04,272,2,117,0,2,178,56,34:08,Sun,12,13,,NYG,W 24-14,24,37,13,64.9,2,1,5.4,2.7,95.4,2,17,5.13,7.4,6.97,7.22,6.85,11.3,14,4.0,0,24,39,61.5,2,2,17,2,68.1,30,389,69,5.64,55,4.25,2,3:06
45,PIT,2016-12-11,220,0,240,3,3,208,67,38:41,Sun,13,14,@,BUF,W 27-20,17,31,14,54.8,0,3,0.0,9.7,37.8,0,0,0.0,7.1,7.1,2.74,2.74,12.9,18,3.7,1,15,25,60.0,2,5,20,1,96.7,42,460,73,6.3,48,5.73,3,3:11
46,PIT,2016-12-18,285,1,97,0,0,146,76,32:32,Sun,14,15,@,CIN,W 24-20,21,36,15,58.3,1,0,2.8,0.0,93.1,1,1,2.7,7.9,7.7,8.47,8.24,13.6,28,2.7,2,16,27,59.3,0,1,11,1,58.6,29,382,66,5.79,56,3.96,0,3:15
47,PIT,2016-12-25,279,3,127,1,2,246,122,25:23,Sun,15,16,,BAL,W 31-27,24,33,9,72.7,3,2,9.1,6.1,103.0,0,0,0.0,8.5,8.45,7.55,7.55,11.6,26,4.7,1,30,44,68.2,1,2,16,1,80.3,22,406,55,7.38,72,5.11,2,3:04
