Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
40,SFO,2016-11-06,4,0,9,78,4,40,3,2,22.2,64.7,Sun,8,9,,NOR,L 23-41,19,4,15,0,9,2,22.2,2,0,0.0,571,0,9,78,4,40,13,118,5,5,5,3,2,0,486,57,8.53,82,6.96,4,21:07,3:13,29,14,14,1,17,11,64.7,0,0,,2,2,2,3,3,0,0,0
41,SFO,2016-11-13,1,4,9,100,2,10,2,3,41.2,50.0,Sun,9,10,@,ARI,L 20-23,15,4,11,0,17,7,41.2,1,1,100.0,443,4,9,100,2,10,11,110,2,2,2,3,3,0,281,61,4.61,74,5.99,1,27:42,3:09,26,4,17,5,14,7,50.0,0,0,,2,2,2,2,2,0,0,0
42,SFO,2016-11-20,0,0,10,68,5,40,1,1,35.7,50.0,Sun,10,11,,NWE,L 17-30,20,8,11,1,14,5,35.7,0,0,,444,0,10,68,5,40,15,108,4,4,3,1,1,0,299,62,4.82,71,6.25,0,30:48,3:06,28,9,14,5,16,8,50.0,1,1,100.0,2,2,2,1,1,0,0,0
43,SFO,2016-11-27,2,0,7,65,4,42,1,1,50.0,50.0,Sun,11,12,@,MIA,L 24-31,25,9,15,1,14,7,50.0,2,2,100.0,358,0,7,65,4,42,11,107,4,4,4,1,1,0,475,73,6.51,58,6.17,2,29:28,3:19,19,6,12,1,12,6,50.0,0,0,,3,3,3,1,1,0,0,0
44,SFO,2016-12-04,0,1,11,106,5,40,2,1,28.6,42.9,Sun,12,13,@,CHI,L 6-26,10,7,2,1,14,4,28.6,0,0,,326,1,11,106,5,40,16,146,3,3,3,1,1,1,147,55,2.67,59,5.53,0,28:42,2:57,19,8,9,2,14,6,42.9,0,0,,0,0,0,2,2,0,0,0
45,SFO,2016-12-11,0,1,3,25,9,56,1,3,16.7,44.4,Sun,13,14,,NYJ,L 17-23 (OT),17,11,5,1,12,2,16.7,1,0,0.0,404,1,3,25,9,56,12,81,2,0,0,3,3,0,364,55,6.62,81,4.99,0,24:30,3:21,24,13,11,0,18,8,44.4,1,1,100.0,2,2,2,3,1,0,0,0
46,SFO,2016-12-18,1,1,4,20,4,27,0,2,46.2,55.6,Sun,14,15,@,ATL,L 13-41,15,6,8,1,13,6,46.2,0,0,,550,1,4,20,4,27,8,47,5,5,5,2,2,0,272,55,4.95,66,8.33,1,23:59,2:54,29,10,17,2,9,5,55.6,0,0,,2,2,1,0,0,0,0,0
47,SFO,2016-12-24,2,2,11,100,5,45,0,0,37.5,30.8,Sat,15,16,@,LAR,W 22-21,21,5,14,2,16,6,37.5,1,1,100.0,177,2,11,100,5,45,16,145,3,3,3,0,0,0,323,70,4.61,57,3.11,2,31:03,3:12,13,6,5,2,13,4,30.8,1,1,100.0,3,2,2,0,0,1,1,0
48,SFO,2017-01-01,2,0,4,25,4,34,0,4,18.2,25.0,Sun,16,17,,SEA,L 23-25,14,7,7,0,11,2,18.2,3,2,66.7,376,0,4,25,4,34,8,59,2,2,1,4,4,0,253,58,4.36,65,5.78,2,30:26,3:03,18,5,13,0,12,3,25.0,1,0,0.0,3,3,3,0,0,0,0,1
49,SFO,2017-09-10,2,2,10,74,5,40,1,3,18.2,53.8,Sun,1,1,,CAR,L 3-23,13,2,10,1,11,2,18.2,4,1,25.0,287,2,10,74,5,40,15,114,2,2,2,3,3,0,217,54,4.02,63,4.56,2,25:39,2:55,20,9,8,3,13,7,53.8,0,0,,0,0,0,1,1,0,0,0
