,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
36,BAL,2016-10-02,1,1,10,105,12,93,2,0,29.4,25.0,Sun,4,4,,OAK,L 27-28,25,7,15,3,17,5,29.4,2,1,50.0,261,1,10,105,12,93,22,198,4,4,4,0,0,0,412,80,5.15,54,4.83,1,34:44,3:20,13,1,11,1,12,3,25.0,0,0,,3,1,1,2,2,2,1,0
37,BAL,2016-10-09,1,2,9,65,4,46,1,1,20.0,25.0,Sun,5,5,,WAS,L 10-16,18,5,12,1,15,3,20.0,3,1,33.3,310,2,9,65,4,46,13,111,2,2,1,2,1,0,306,69,4.43,62,5.00,1,30:25,3:08,18,4,12,2,12,3,25.0,2,1,50.0,1,1,1,1,1,0,0,0
38,BAL,2016-10-16,0,3,15,111,7,119,3,2,27.8,28.6,Sun,6,6,@,NYG,L 23-27,22,7,10,5,18,5,27.8,2,1,50.0,435,3,15,111,7,119,22,230,3,3,3,2,2,0,391,76,5.14,64,6.80,0,35:04,3:22,19,0,16,3,14,4,28.6,3,3,100.0,2,2,2,3,3,0,0,0
39,BAL,2016-10-23,3,2,4,35,4,25,3,1,21.4,37.5,Sun,7,7,@,NYJ,L 16-24,11,0,11,0,14,3,21.4,1,0,0.0,344,2,4,35,4,25,8,60,3,3,3,2,1,0,245,57,4.30,66,5.21,3,23:23,2:54,16,7,7,2,16,6,37.5,1,0,0.0,1,1,1,3,3,0,0,0
40,BAL,2016-11-06,1,1,10,94,13,99,2,0,23.5,25.0,Sun,8,9,,PIT,W 21-14,13,2,7,4,17,4,23.5,0,0,,277,1,10,94,13,99,23,193,2,2,2,0,0,0,274,63,4.35,65,4.26,1,32:10,3:18,15,3,10,2,16,4,25.0,2,1,50.0,2,1,1,2,2,1,1,0
41,BAL,2016-11-10,2,3,6,61,3,35,2,0,58.3,20.0,Thu,9,10,,CLE,W 28-7,29,7,19,3,12,7,58.3,0,0,,144,3,6,61,3,35,9,96,1,1,1,0,0,0,396,77,5.14,48,3.00,2,38:36,2:58,11,1,9,1,10,2,20.0,0,0,,3,2,2,2,2,1,1,0
42,BAL,2016-11-20,0,0,12,136,5,45,1,2,33.3,58.3,Sun,10,11,@,DAL,L 17-27,17,6,10,1,9,3,33.3,0,0,,417,0,12,136,5,45,17,181,3,3,3,2,2,0,368,52,7.08,67,6.22,0,24:21,3:03,27,6,19,2,12,7,58.3,0,0,,2,2,2,1,1,0,0,0
43,BAL,2016-11-27,1,2,8,69,2,15,4,2,31.3,31.3,Sun,11,12,,CIN,W 19-14,16,4,12,0,16,5,31.3,2,1,50.0,325,2,8,69,2,15,10,84,1,1,0,2,2,1,311,68,4.57,71,4.58,1,31:17,3:05,22,3,15,4,16,5,31.3,1,1,100.0,1,1,1,4,4,0,0,0
44,BAL,2016-12-04,2,3,7,68,7,57,1,0,45.5,30.8,Sun,12,13,,MIA,W 38-6,28,8,20,0,11,5,45.5,2,2,100.0,277,3,7,68,7,57,14,125,1,0,0,1,0,0,496,70,7.09,58,4.78,2,29:14,2:54,16,3,11,2,13,4,30.8,0,0,,5,5,5,1,1,0,0,0
45,BAL,2016-12-12,1,3,8,47,5,48,3,0,37.5,50.0,Mon,13,14,@,NWE,L 23-30,17,3,13,1,16,6,37.5,0,0,,496,3,8,47,5,48,13,95,4,4,4,0,0,1,348,68,5.12,65,7.63,1,30:46,3:20,20,6,13,1,16,8,50.0,1,1,100.0,2,2,2,4,3,0,0,0
