,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
46,CIN,2016-12-18,1,0,8,86,7,104,2,6,50.0,38.5,Sun,14,15,,PIT,L 20-24,19,8,9,2,12,6,50.0,1,1,100.0,382,0,8,86,7,104,15,190,1,0,0,6,6,0,222,56,3.96,66,5.79,1,27:28,3:15,26,7,12,7,13,5,38.5,0,0,,2,2,2,2,2,0,0,0
47,CIN,2016-12-24,1,0,6,60,3,25,1,2,43.8,28.6,Sat,15,16,@,HOU,L 10-12,15,3,12,0,16,7,43.8,1,1,100.0,250,0,6,60,3,25,9,85,1,1,0,2,2,0,294,63,4.67,57,4.39,1,28:54,2:43,17,4,8,5,14,4,28.6,0,0,,1,1,1,2,1,0,0,0
48,CIN,2017-01-01,0,2,2,20,4,41,2,1,12.5,50.0,Sun,16,17,,BAL,W 27-10,25,10,13,2,8,1,12.5,0,0,,335,2,2,20,4,41,6,61,1,1,1,1,1,0,371,67,5.54,70,4.79,0,30:42,2:50,22,7,14,1,16,8,50.0,3,1,33.3,3,3,3,2,2,0,0,0
49,CIN,2017-09-10,5,1,9,66,11,85,0,2,30.8,42.9,Sun,1,1,,BAL,L 0-20,14,3,8,3,13,4,30.8,1,0,0.0,268,1,9,66,11,85,20,151,2,2,2,2,2,0,221,58,3.81,60,4.47,5,26:00,2:57,17,8,5,4,14,6,42.9,0,0,,0,0,0,0,0,0,0,0
50,CIN,2017-09-14,1,0,7,45,9,61,3,2,26.7,26.7,Thu,2,2,,HOU,L 9-13,12,4,8,0,15,4,26.7,2,1,50.0,266,0,7,45,9,61,16,106,1,1,1,2,2,0,295,62,4.76,62,4.29,1,27:45,3:04,14,6,6,2,15,4,26.7,0,0,,0,0,0,3,3,0,0,0
51,CIN,2017-09-24,1,1,7,68,4,33,1,2,33.3,46.7,Sun,3,3,@,GNB,L 24-27 (OT),21,6,13,2,12,4,33.3,0,0,,344,1,7,68,4,33,11,101,3,3,3,2,2,0,301,60,5.02,65,5.29,1,34:17,3:18,22,4,15,3,15,7,46.7,0,0,,3,3,3,2,1,0,0,0
52,CIN,2017-10-01,1,1,8,66,4,28,1,0,54.5,31.3,Sun,4,4,@,CLE,W 31-7,25,8,15,2,11,6,54.5,0,0,,215,1,8,66,4,28,12,94,1,1,1,1,0,0,350,63,5.56,61,3.52,1,35:02,2:56,16,3,9,4,16,5,31.3,2,1,50.0,4,4,4,1,1,0,0,0
53,CIN,2017-10-08,3,1,6,71,6,71,2,3,40.0,33.3,Sun,5,5,,BUF,W 20-16,18,4,11,3,15,6,40.0,0,0,,221,1,6,71,6,71,12,142,1,1,1,3,3,0,388,64,6.06,67,3.30,3,30:01,3:00,17,5,10,2,18,6,33.3,0,0,,2,2,2,2,2,0,0,0
54,CIN,2017-10-22,2,0,5,54,1,5,0,5,27.3,18.2,Sun,6,7,@,PIT,L 14-29,11,2,8,1,11,3,27.3,2,1,50.0,420,0,5,54,1,5,6,59,2,2,2,5,5,0,179,51,3.51,68,6.18,2,24:45,3:03,21,7,11,3,11,2,18.2,3,1,33.3,2,2,2,0,0,0,0,0
55,CIN,2017-10-29,2,1,5,54,7,45,1,3,36.4,50.0,Sun,7,8,,IND,W 24-23,17,5,10,2,11,4,36.4,0,0,,331,1,5,54,7,45,12,99,2,2,2,3,3,0,276,53,5.21,71,4.66,2,26:47,3:11,19,6,12,1,16,8,50.0,1,0,0.0,3,3,3,2,1,0,0,0
