Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,WAS,2014-09-07,241,0,131,1,2,206,115,30:54,Sun,1,1,@,HOU,L 6-17,29,37,8,78.4,0,0,0.0,0.0,96.7,3,26,7.5,6.5,6.03,6.51,6.03,8.3,34,3.4,0,14,22,63.6,1,0,0,0,109.3,23,372,63,5.9,56,5.73,2,2:56
2,WAS,2014-09-14,258,2,191,3,0,123,25,39:01,Sun,2,2,,JAX,W 41-10,24,36,12,66.7,2,0,5.6,0.0,109.5,3,30,7.69,7.2,6.62,8.28,7.64,10.8,10,2.5,0,14,28,50.0,1,10,70,1,59.1,42,449,81,5.54,48,3.08,0,3:15
3,WAS,2014-09-21,427,3,84,1,1,325,54,34:48,Sun,3,3,@,PHI,L 34-37,30,48,18,62.5,3,1,6.3,2.1,103.4,0,0,0.0,8.9,8.9,9.21,9.21,14.2,25,2.2,0,27,41,65.9,3,0,0,0,114.4,28,511,76,6.72,66,5.74,1,3:33
4,WAS,2014-09-25,243,1,86,1,6,295,154,22:43,Thu,4,4,,NYG,L 14-45,19,33,14,57.6,1,4,3.0,12.1,53.0,2,14,5.71,7.4,6.94,2.52,2.37,12.8,38,4.1,2,28,39,71.8,4,1,5,1,116.9,17,329,52,6.33,78,5.76,6,3:10
5,WAS,2014-10-06,275,2,32,0,0,178,225,25:04,Mon,5,5,,SEA,L 17-27,21,36,15,58.3,2,0,5.6,0.0,102.0,1,8,2.7,7.6,7.43,8.75,8.51,13.1,36,6.3,1,18,24,75.0,2,3,23,0,123.3,17,307,54,5.69,63,6.4,0,3:10
6,WAS,2014-10-12,335,2,72,0,4,243,74,25:41,Sun,6,6,@,ARI,L 20-30,24,38,14,63.2,2,3,5.3,7.9,78.2,2,19,5.0,8.8,8.38,6.32,6.0,14.0,23,3.2,0,28,44,63.6,2,1,7,0,93.3,17,407,57,7.14,68,4.66,4,3:20
7,WAS,2014-10-19,251,1,100,0,2,160,76,29:04,Sun,7,7,,TEN,W 19-17,21,28,7,75.0,1,1,3.6,3.6,101.3,3,16,9.68,9.0,8.1,8.07,7.29,12.0,22,3.5,0,17,26,65.4,2,1,0,1,91.8,26,351,57,6.16,49,4.82,2,3:06
8,WAS,2014-10-27,286,0,123,2,1,224,171,38:12,Mon,8,8,@,DAL,W 20-17 (OT),25,30,5,83.3,0,1,0.0,3.3,94.3,3,13,9.09,9.5,8.67,8.03,7.3,11.4,25,6.8,0,21,34,61.8,2,5,54,0,100.6,31,409,64,6.39,64,6.17,1,3:13
9,WAS,2014-11-02,225,1,122,2,1,252,100,29:34,Sun,9,9,@,MIN,L 26-29,18,28,10,64.3,1,1,3.6,3.6,90.0,5,26,15.15,8.0,6.82,7.14,6.06,12.5,27,3.7,3,26,42,61.9,1,2,16,0,86.6,29,347,62,5.6,71,4.96,1,3:11
10,WAS,2014-11-16,167,1,155,0,3,281,48,34:11,Sun,10,11,,TAM,L 7-27,23,32,9,71.9,1,2,3.1,6.3,73.3,6,40,15.79,5.2,4.39,3.03,2.55,7.3,21,2.3,0,15,23,65.2,2,2,7,0,136.3,31,322,69,4.67,46,7.15,3,2:55
