Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
126,GNB,2021-12-19,250,3,96,1,0,211,143,31:10,Sun,14,15,@,BAL,W 31-30,23,31,8,74.2,3,0,9.7,0.0,132.2,3,18,8.82,8.1,7.35,10.0,9.12,10.9,26,5.5,2,28,40,70.0,2,1,4,0,99.1,25,346,59,5.86,67,5.28,0,3:06
127,GNB,2021-12-25,202,3,109,0,0,189,219,28:19,Sat,15,16,,CLE,W 24-22,24,34,10,70.6,3,0,8.8,0.0,115.1,0,0,0.0,5.9,5.94,7.71,7.71,8.4,25,8.8,1,21,36,58.3,2,5,33,4,51.5,24,311,58,5.36,66,6.18,0,2:54
128,GNB,2022-01-02,307,2,174,2,0,179,27,38:33,Sun,16,17,,MIN,W 37-10,31,42,11,73.8,2,0,4.8,0.0,109.9,0,0,0.0,7.3,7.31,8.26,8.26,9.9,11,2.5,0,24,39,61.5,1,2,15,0,81.0,32,481,74,6.5,52,3.96,0,3:04
129,GNB,2022-01-09,256,3,122,1,3,305,99,33:39,Sun,17,18,@,DET,L 30-37,24,35,11,68.6,3,2,8.6,5.7,96.4,4,16,10.26,7.3,6.56,6.46,5.79,10.7,26,3.8,1,22,32,68.8,3,1,8,0,130.3,27,378,66,5.73,59,6.85,3,3:02
130,GNB,2022-09-11,227,0,111,1,2,269,126,28:37,Sun,1,1,@,MIN,L 7-23,26,39,13,66.7,0,1,0.0,2.6,74.7,4,33,9.3,5.8,5.28,4.67,4.23,8.7,28,4.5,0,23,32,71.9,2,1,8,0,117.8,18,338,61,5.54,61,6.48,2,3:03
131,GNB,2022-09-18,211,2,203,1,1,48,180,37:15,Sun,2,2,,CHI,W 27-10,19,25,6,76.0,2,0,8.0,0.0,131.1,3,23,10.71,8.4,7.54,10.04,8.96,11.1,27,6.7,1,7,11,63.6,0,3,22,1,35.4,38,414,66,6.27,41,5.56,1,2:46
132,GNB,2022-09-25,248,2,67,0,2,251,34,33:25,Sun,3,3,@,TAM,W 14-12,27,35,8,77.1,2,1,5.7,2.9,103.9,1,7,2.78,7.1,6.89,6.94,6.75,9.2,14,2.4,0,31,42,73.8,1,3,20,0,96.4,25,315,61,5.16,59,4.83,2,3:00
133,GNB,2022-10-02,244,2,199,1,2,104,167,36:49,Sun,4,4,,NWE,W 27-24 (OT),21,35,14,60.0,2,1,5.7,2.9,89.1,1,7,2.78,7.0,6.78,6.83,6.64,11.6,33,5.1,1,15,21,71.4,1,4,32,0,98.1,35,443,71,6.24,58,4.67,2,3:21
134,GNB,2022-10-09,207,2,94,0,0,213,125,27:49,Sun,5,5,,NYG,L 22-27,25,39,14,64.1,2,0,5.1,0.0,96.3,2,15,4.88,5.3,5.05,6.33,6.02,8.3,31,4.0,3,21,27,77.8,0,1,4,0,99.5,20,301,61,4.93,59,5.73,0,2:59
135,GNB,2022-10-16,218,1,60,0,1,99,179,31:12,Sun,6,6,,NYJ,L 10-27,28,45,17,62.2,1,0,2.2,0.0,84.9,4,36,8.16,4.8,4.45,5.29,4.86,7.8,33,5.4,2,10,18,55.6,0,2,11,0,71.3,20,278,69,4.03,53,5.25,1,3:05
