Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
25,KAN,2015-11-15,197,1,106,1,0,152,69,33:27,Sun,9,10,@,DEN,W 29-13,17,31,14,54.8,1,0,3.2,0.0,86.0,2,7,6.06,6.4,5.97,7.0,6.58,11.6,16,4.3,1,19,44,43.2,1,5,29,5,20.5,32,303,65,4.66,65,3.4,0,3:22
26,KAN,2015-11-22,232,0,153,3,0,149,52,33:28,Sun,10,11,@,LAC,W 33-3,20,25,5,80.0,0,0,0.0,0.0,108.8,3,21,10.71,9.3,8.29,9.28,8.29,11.6,25,2.1,0,19,30,63.3,0,3,29,1,61.7,31,385,59,6.53,58,3.47,0,2:58
27,KAN,2015-11-29,255,2,158,1,0,286,129,29:28,Sun,11,12,,BUF,W 30-22,19,30,11,63.3,2,0,6.7,0.0,112.5,1,0,3.23,8.5,8.23,9.83,9.52,13.4,28,4.6,0,21,38,55.3,3,1,5,0,105.8,27,413,58,7.12,67,6.19,0,3:15
28,KAN,2015-12-06,143,2,89,2,2,262,99,25:32,Sun,12,13,@,LVR,W 34-20,16,22,6,72.7,2,0,9.1,0.0,123.7,4,19,15.38,6.5,5.5,8.32,7.04,8.9,24,4.1,1,31,48,64.6,2,4,21,3,66.5,22,232,48,4.83,76,4.75,2,3:04
29,KAN,2015-12-13,179,1,150,0,2,236,44,28:52,Sun,13,14,,LAC,W 10-3,15,23,8,65.2,1,1,4.3,4.3,87.4,2,12,8.0,7.8,7.16,6.7,6.16,11.9,18,2.4,0,24,43,55.8,0,5,27,1,61.8,25,329,50,6.58,66,4.24,2,2:57
30,KAN,2015-12-20,164,1,113,1,0,273,93,32:19,Sun,14,15,@,BAL,W 34-14,21,25,4,84.0,1,0,4.0,0.0,108.5,3,7,10.71,6.6,5.86,7.36,6.57,7.8,20,4.7,0,26,45,57.8,2,2,8,2,71.8,28,277,56,4.95,67,5.46,0,2:55
31,KAN,2015-12-27,122,2,136,0,1,136,232,28:56,Sun,15,16,,CLE,W 17-13,15,22,7,68.2,2,1,9.1,4.5,93.9,1,3,4.35,5.5,5.3,5.32,5.09,8.1,36,6.4,1,13,32,40.6,0,0,0,1,40.6,27,258,50,5.16,68,5.41,1,2:59
32,KAN,2016-01-03,150,2,189,1,2,157,48,34:55,Sun,16,17,,LVR,W 23-17,15,25,10,60.0,2,2,8.0,8.0,71.9,1,9,3.85,6.0,5.77,4.0,3.85,10.0,16,3.0,0,21,33,63.6,1,6,37,1,72.4,39,339,65,5.22,55,3.73,2,2:57
33,KAN,2016-09-11,330,2,83,2,1,233,155,31:06,Sun,1,1,,LAC,W 33-27 (OT),34,48,14,70.8,2,1,4.2,2.1,97.8,3,33,5.88,6.9,6.47,6.77,6.37,9.7,32,4.8,2,25,36,69.4,1,1,10,0,96.2,19,413,70,5.9,69,5.62,1,3:34
34,KAN,2016-09-18,172,0,119,0,3,254,97,26:01,Sun,2,2,@,HOU,L 12-19,20,37,17,54.1,0,0,0.0,0.0,68.1,4,14,9.76,4.6,4.2,4.65,4.2,8.6,34,2.9,0,19,33,57.6,1,2,14,2,67.0,19,291,60,4.85,69,5.09,3,3:15
35,KAN,2016-09-25,221,1,72,0,1,188,117,32:05,Sun,3,3,,NYJ,W 24-3,25,33,8,75.8,1,0,3.0,0.0,105.2,2,16,5.71,6.7,6.31,7.3,6.89,8.8,22,5.3,0,20,44,45.5,0,0,0,6,18.2,27,293,62,4.73,66,4.62,1,2:54
