Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
13,CHI,2014-12-04,341,2,35,2,2,203,194,27:32,Thu,13,14,,DAL,L 28-41,32,46,14,69.6,2,1,4.3,2.2,96.4,0,0,0.0,7.4,7.41,7.3,7.3,10.7,35,5.5,2,21,26,80.8,3,1,2,0,137.7,15,376,61,6.16,62,6.4,2,3:08
14,CHI,2014-12-15,153,2,125,0,3,360,83,26:29,Mon,14,15,,NOR,L 15-31,17,31,14,54.8,2,3,6.5,9.7,55.8,7,41,18.42,4.9,4.03,1.87,1.53,9.0,26,3.2,1,29,36,80.6,3,2,15,0,136.1,20,278,58,4.79,64,6.92,3,3:03
15,CHI,2014-12-21,170,2,64,0,1,229,138,28:04,Sun,15,16,,DET,L 14-20,23,39,16,59.0,2,1,5.1,2.6,77.0,2,11,4.88,4.4,4.15,4.23,4.02,7.4,26,5.3,2,22,39,56.4,0,4,14,2,52.2,22,234,63,3.71,69,5.32,1,3:03
16,CHI,2014-12-28,165,0,99,0,0,190,121,31:33,Sun,16,17,@,MIN,L 9-13,23,36,13,63.9,0,0,0.0,0.0,75.2,2,7,5.26,4.6,4.34,4.58,4.34,7.2,33,3.7,0,17,25,68.0,1,3,19,1,87.1,21,264,59,4.47,61,5.1,0,2:53
17,CHI,2015-09-13,213,1,189,1,1,189,133,31:52,Sun,1,1,,GNB,L 23-31,18,36,18,50.0,1,1,2.8,2.8,67.5,2,12,5.26,5.9,5.61,5.22,4.95,11.8,30,4.4,1,18,23,78.3,3,0,0,0,140.5,33,402,71,5.66,53,6.08,1,3:15
18,CHI,2015-09-20,226,1,109,1,2,185,115,29:56,Sun,2,2,,ARI,L 23-48,22,32,10,68.8,1,2,3.1,6.3,75.1,2,15,5.88,7.1,6.65,4.88,4.59,10.3,28,4.1,1,17,24,70.8,4,0,0,1,115.5,28,335,62,5.4,52,5.77,2,3:18
19,CHI,2015-09-27,48,0,98,0,0,212,159,27:24,Sun,3,3,@,SEA,L 0-26,9,17,8,52.9,0,0,0.0,0.0,61.6,2,15,10.53,2.8,2.53,2.82,2.53,5.3,29,5.5,0,20,30,66.7,1,4,23,0,98.2,27,146,46,3.17,63,5.89,0,2:54
20,CHI,2015-10-04,273,2,98,0,3,196,70,33:22,Sun,4,4,,LVR,W 22-20,28,43,15,65.1,2,1,4.7,2.3,89.4,3,8,6.52,6.3,5.93,6.23,5.83,9.8,22,3.2,0,20,33,60.6,2,2,23,1,84.9,29,371,75,4.95,57,4.67,3,3:18
21,CHI,2015-10-11,241,2,87,0,1,170,117,33:37,Sun,5,5,@,KAN,W 18-17,26,45,19,57.8,2,0,4.4,0.0,88.4,2,11,4.26,5.4,5.13,6.24,5.98,9.3,25,4.7,0,16,30,53.3,1,3,11,0,81.2,26,328,73,4.49,58,4.95,1,3:14
22,CHI,2015-10-18,353,1,91,2,1,391,155,33:34,Sun,6,6,@,DET,L 34-37 (OT),26,41,15,63.4,1,1,2.4,2.4,88.8,1,0,2.38,8.6,8.4,8.0,7.81,13.6,32,4.8,0,27,42,64.3,4,2,14,1,116.3,31,444,73,6.08,76,7.18,1,3:55
23,CHI,2015-11-01,208,1,97,1,0,180,147,32:42,Sun,7,8,,MIN,L 20-23,22,33,11,66.7,1,0,3.0,0.0,94.4,1,3,2.94,6.3,6.12,6.91,6.71,9.5,25,5.9,0,17,30,56.7,1,1,7,1,71.5,25,305,59,5.17,56,5.84,0,2:58
24,CHI,2015-11-09,337,2,109,1,2,262,77,33:35,Mon,8,9,@,LAC,W 22-19,27,40,13,67.5,2,1,5.0,2.5,100.5,1,8,2.44,8.4,8.22,8.3,8.1,12.5,19,4.1,0,26,42,61.9,1,2,18,0,87.6,29,446,70,6.37,63,5.38,2,3:06
25,CHI,2015-11-15,244,3,153,1,2,191,94,34:22,Sun,9,10,@,LAR,W 37-13,19,24,5,79.2,3,0,12.5,0.0,151.0,2,14,7.69,10.2,9.38,12.67,11.69,12.8,21,4.5,1,17,37,45.9,0,1,9,1,50.6,37,397,63,6.3,59,4.83,2,3:14
26,CHI,2015-11-22,261,0,86,1,2,219,170,26:47,Sun,10,11,,DEN,L 15-17,18,32,14,56.3,0,1,0.0,3.1,70.4,2,4,5.88,8.2,7.68,6.75,6.35,14.5,36,4.7,0,20,27,74.1,2,5,31,0,122.3,25,347,59,5.88,68,5.72,2,3:01
